Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.338,0.338,0.323,0.337,0.337,40300
2021-01-11,0.333,0.344,0.323,0.323,0.323,61500
2021-01-12,0.309,0.33,0.309,0.323,0.323,74200
2021-01-13,0.318,0.325,0.308,0.321,0.321,71300
2021-01-14,0.348,0.348,0.323,0.326,0.326,36100
2021-01-15,0.33,0.34,0.322,0.328,0.328,138200
2021-01-19,0.314,0.33,0.31,0.32,0.32,84200
2021-01-20,0.345,0.345,0.315,0.327,0.327,67600
2021-01-21,0.33,0.348,0.316,0.336,0.336,64100
2021-01-22,0.36,0.36,0.33,0.338,0.338,50700
2021-01-25,0.344,0.344,0.316,0.324,0.324,117000
2021-01-26,0.306,0.328,0.306,0.315,0.315,59200
2021-01-27,0.32,0.32,0.277,0.297,0.297,190000
2021-01-28,0.3,0.31,0.277,0.289,0.289,104800
2021-01-29,0.274,0.307,0.274,0.307,0.307,56600
2021-02-01,0.317,0.337,0.304,0.335,0.335,233700
2021-02-02,0.347,0.349,0.328,0.334,0.334,137300
2021-02-03,0.352,0.386,0.345,0.362,0.362,142600
2021-02-04,0.38,0.385,0.353,0.36,0.36,85600
2021-02-05,0.383,0.383,0.33,0.338,0.338,240900
2021-02-08,0.35,0.378,0.349,0.36,0.36,147500
2021-02-09,0.372,0.42,0.363,0.395,0.395,250200
2021-02-10,0.431,0.444,0.37,0.41,0.41,254000
2021-02-11,0.41,0.414,0.366,0.374,0.374,262100
2021-02-12,0.4,0.4,0.363,0.38,0.38,56700
2021-02-16,0.405,0.436,0.389,0.393,0.393,95300
2021-02-17,0.435,0.435,0.362,0.373,0.373,201000
2021-02-18,0.37,0.374,0.35,0.364,0.364,121700
2021-02-19,0.357,0.383,0.355,0.369,0.369,41200
2021-02-22,0.361,0.372,0.348,0.366,0.366,66100
2021-02-23,0.366,0.369,0.344,0.35,0.35,76800
2021-02-24,0.35,0.379,0.35,0.367,0.367,34300
2021-02-25,0.37,0.374,0.359,0.36,0.36,48700
2021-02-26,0.38,0.38,0.35,0.362,0.362,68900
2021-03-01,0.375,0.38,0.362,0.38,0.38,123000
2021-03-02,0.4,0.4,0.375,0.38,0.38,128000
2021-03-03,0.389,0.389,0.373,0.378,0.378,28800
2021-03-04,0.38,0.386,0.344,0.347,0.347,185800
2021-03-05,0.365,0.365,0.338,0.363,0.363,119400
2021-03-08,0.363,0.378,0.357,0.365,0.365,79000
2021-03-09,0.349,0.353,0.346,0.351,0.351,63300
2021-03-10,0.354,0.357,0.347,0.347,0.347,26800
2021-03-11,0.348,0.375,0.348,0.359,0.359,10200
2021-03-12,0.358,0.374,0.358,0.368,0.368,23100
2021-03-15,0.389,0.389,0.36,0.366,0.366,43800
2021-03-16,0.326,0.362,0.326,0.361,0.361,71900
2021-03-17,0.358,0.358,0.344,0.348,0.348,26800
2021-03-18,0.36,0.36,0.34,0.34,0.34,12300
2021-03-19,0.335,0.353,0.332,0.35,0.35,238200
2021-03-22,0.351,0.352,0.33,0.331,0.331,250700
2021-03-23,0.352,0.352,0.325,0.33,0.33,115300
2021-03-24,0.33,0.351,0.33,0.34,0.34,61400
2021-03-25,0.34,0.34,0.309,0.32,0.32,171000
2021-03-26,0.331,0.331,0.317,0.317,0.317,26000
2021-03-29,0.32,0.322,0.301,0.314,0.314,72100
2021-03-30,0.303,0.317,0.303,0.316,0.316,10900
2021-03-31,0.319,0.32,0.3,0.305,0.305,48500
2021-04-01,0.322,0.322,0.306,0.315,0.315,42800
2021-04-05,0.319,0.32,0.305,0.31,0.31,51600
2021-04-06,0.293,0.316,0.293,0.313,0.313,26300
2021-04-07,0.32,0.32,0.3,0.303,0.303,38100
2021-04-08,0.3,0.318,0.3,0.315,0.315,15300
2021-04-09,0.308,0.316,0.306,0.316,0.316,5800
2021-04-12,0.313,0.315,0.306,0.315,0.315,33000
2021-04-13,0.31,0.315,0.306,0.306,0.306,30800
2021-04-14,0.3,0.315,0.3,0.305,0.305,54500
2021-04-15,0.31,0.315,0.305,0.307,0.307,74900
2021-04-16,0.307,0.312,0.302,0.309,0.309,16400
2021-04-19,0.309,0.312,0.298,0.299,0.299,23200
2021-04-20,0.3,0.3,0.279,0.28,0.28,71600
2021-04-21,0.281,0.311,0.28,0.293,0.293,43900
2021-04-22,0.292,0.301,0.275,0.288,0.288,20400
2021-04-23,0.29,0.29,0.28,0.28,0.28,36300
2021-04-26,0.29,0.29,0.27,0.285,0.285,92000
2021-04-27,0.286,0.291,0.282,0.289,0.289,9500
2021-04-28,0.302,0.302,0.29,0.292,0.292,42300
2021-04-29,0.293,0.309,0.291,0.3,0.3,24000
2021-04-30,0.275,0.309,0.275,0.284,0.284,17100
2021-05-03,0.283,0.33,0.275,0.318,0.318,115700
2021-05-04,0.355,0.355,0.319,0.319,0.319,68700
2021-05-05,0.32,0.322,0.303,0.313,0.313,38600
2021-05-06,0.305,0.318,0.29,0.3,0.3,32200
2021-05-07,0.31,0.317,0.29,0.312,0.312,35900
2021-05-10,0.323,0.323,0.298,0.307,0.307,62400
2021-05-11,0.324,0.324,0.271,0.298,0.298,53600
2021-05-12,0.31,0.31,0.292,0.31,0.31,85200
2021-05-13,0.275,0.318,0.275,0.316,0.316,39800
2021-05-14,0.32,0.333,0.32,0.322,0.322,27400
2021-05-17,0.315,0.324,0.311,0.324,0.324,49200
2021-05-18,0.322,0.328,0.311,0.324,0.324,62900
2021-05-19,0.324,0.33,0.319,0.33,0.33,18800
2021-05-20,0.327,0.34,0.327,0.34,0.34,34800
2021-05-21,0.345,0.348,0.329,0.348,0.348,35300
2021-05-24,0.368,0.368,0.318,0.318,0.318,9100
2021-05-25,0.345,0.349,0.333,0.334,0.334,33300
2021-05-26,0.329,0.331,0.325,0.325,0.325,19300
2021-05-27,0.317,0.331,0.317,0.32,0.32,42200
2021-05-28,0.323,0.323,0.312,0.312,0.312,10800
2021-06-01,0.315,0.315,0.31,0.313,0.313,6900
2021-06-02,0.316,0.316,0.302,0.306,0.306,11300
2021-06-03,0.318,0.318,0.28,0.291,0.291,86200
2021-06-04,0.282,0.298,0.272,0.291,0.291,76700
2021-06-07,0.295,0.295,0.284,0.286,0.286,88600
2021-06-08,0.29,0.295,0.28,0.281,0.281,112500
2021-06-09,0.269,0.274,0.259,0.265,0.265,70200
2021-06-10,0.25,0.29,0.25,0.286,0.286,58100
2021-06-11,0.292,0.292,0.28,0.284,0.284,55000
2021-06-14,0.292,0.292,0.275,0.277,0.277,204600
2021-06-15,0.284,0.294,0.277,0.289,0.289,205600
2021-06-16,0.265,0.285,0.254,0.267,0.267,211200
2021-06-17,0.267,0.277,0.263,0.267,0.267,114600
2021-06-18,0.266,0.268,0.257,0.266,0.266,72300
2021-06-21,0.255,0.271,0.255,0.265,0.265,96800
2021-06-22,0.248,0.267,0.248,0.263,0.263,36200
2021-06-23,0.288,0.288,0.255,0.256,0.256,58300
2021-06-24,0.27,0.27,0.255,0.268,0.268,93400
2021-06-25,0.292,0.292,0.259,0.259,0.259,99500
2021-06-28,0.273,0.281,0.268,0.276,0.276,47900
2021-06-29,0.294,0.294,0.268,0.275,0.275,68200
2021-06-30,0.288,0.288,0.261,0.267,0.267,78000
2021-07-01,0.28,0.308,0.271,0.271,0.271,42500
2021-07-02,0.273,0.29,0.268,0.288,0.288,58000
2021-07-06,0.289,0.289,0.265,0.265,0.265,17200
2021-07-07,0.269,0.275,0.26,0.26,0.26,24400
