Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,26.760973,26.918856,26.65835,26.816233,24.148722,112236
2013-07-17,26.87149,26.942537,26.705713,26.839914,24.17004,64352
2013-07-18,26.839914,27.31356,26.77676,26.942537,24.262457,104635
2013-07-19,26.839914,26.903067,26.713608,26.83202,24.162939,91587
2013-07-22,26.784655,27.210936,26.689926,27.195148,24.489941,128577
2013-07-23,27.203041,27.234619,26.934643,27.131994,24.433069,75119
2013-07-24,27.297771,27.297771,26.800444,26.816233,24.148722,72459
2013-07-25,26.800444,27.226725,26.760973,26.982008,24.298006,92601
2013-07-26,26.760973,27.108313,26.595198,27.084631,24.390421,63719
2013-07-29,26.950432,27.147783,26.705713,26.792549,24.127392,69292
2013-07-30,26.989902,27.139889,26.697821,26.784655,24.120283,79553
2013-07-31,26.768867,26.950432,26.729397,26.729397,24.07052,109576
2013-08-01,26.903067,27.826675,26.760973,27.724052,24.966236,157840
2013-08-02,27.574064,27.574064,27.131994,27.408289,24.681883,81453
2013-08-05,27.289877,27.542488,27.163572,27.463547,24.731644,79173
2013-08-06,27.337242,27.384605,27.147783,27.297771,24.582357,61438
2013-08-07,27.116207,27.27409,26.926748,26.997795,24.312222,86014
2013-08-08,26.989902,27.250406,26.989902,27.21883,24.511269,69799
2013-08-09,26.958324,27.250406,26.800444,26.83202,24.162939,58018
2013-08-12,26.682032,26.847809,26.610985,26.760973,24.098959,38383
2013-08-13,26.926748,27.234619,26.713608,26.847809,24.177156,76893
2013-08-14,26.784655,26.910961,26.713608,26.792549,24.127392,46617
2013-08-15,26.516256,26.516256,25.861048,25.947882,23.366747,72459
2013-08-16,25.813683,26.026821,25.545282,25.876835,23.302769,62072
2013-08-19,25.774212,25.924198,25.513706,25.805788,23.238785,73093
2013-08-20,25.766317,26.666245,25.766317,26.366268,23.743517,70306
2013-08-21,26.31101,26.413633,25.924198,25.932093,23.352526,36356
2013-08-22,25.971563,26.745186,25.971563,26.397844,23.771948,43957
2013-08-23,26.405739,26.48468,26.153128,26.200493,23.594231,25842
2013-08-26,26.295221,26.295221,24.542732,24.669039,22.215115,169494
2013-08-27,24.392744,24.574308,24.13224,24.171711,21.767263,92854
2013-08-28,24.179605,24.179605,23.855947,23.895418,21.518448,59158
2013-08-29,23.808582,24.219074,23.682278,24.061193,21.667728,59538
2013-08-30,24.021723,24.021723,23.350725,23.674383,21.319401,127184
2013-09-03,23.926994,24.203287,22.892868,23.287573,20.971069,219531
2013-09-04,23.35862,23.982252,23.287573,23.966463,21.582432,186469
2013-09-05,23.9191,23.966463,23.508608,23.729643,21.369171,83480
2013-09-06,23.769112,23.86384,23.350725,23.682278,21.326509,77273
2013-09-09,23.777006,24.061193,23.674383,24.021723,21.632196,81580
2013-09-10,24.09277,24.13224,23.74543,24.116451,21.717499,81453
2013-09-11,24.076982,24.211182,23.840158,24.053299,21.660622,61565
2013-09-12,24.013828,24.266439,23.879629,23.926994,21.546881,50164
2013-09-13,24.061193,24.155924,23.840158,24.124346,21.724611,33316
2013-09-16,24.329594,24.329594,23.9191,24.163816,21.760151,61185
2013-09-17,24.13224,24.424322,24.09277,24.424322,21.994741,51431
2013-09-18,24.416428,24.803238,23.816477,24.740086,22.279097,90574
2013-09-19,24.732191,24.890074,24.345381,24.495369,22.058718,55611
2013-09-20,24.637463,25.071636,24.424322,24.92165,22.4426,209270
2013-09-23,24.92165,24.92165,24.511156,24.795343,22.328861,49784
2013-09-24,24.747978,25.182156,24.440109,24.890074,22.41416,57385
2013-09-25,24.92165,24.92165,24.69272,24.763767,22.300423,38510
2013-09-26,24.882179,25.13479,24.455898,24.65325,22.200901,61818
2013-09-27,24.448004,24.605886,24.242758,24.432217,22.00185,36736
2013-09-30,24.242758,24.424322,24.124346,24.329594,21.909439,114389
2013-10-01,24.369062,24.613779,24.226969,24.590097,22.144028,137445
2013-10-02,24.448004,24.566416,24.116451,24.503263,22.06583,87027
2013-10-03,24.408533,24.455898,23.871735,23.903313,21.581181,93994
2013-10-04,23.840158,23.966463,23.682278,23.832266,21.517036,67012
2013-10-07,23.595442,23.674383,23.12969,23.177055,20.925476,160880
2013-10-08,23.169161,23.627018,22.948126,23.492819,21.210564,113629
2013-10-09,23.619123,23.832266,23.192842,23.650702,21.353109,83100
2013-10-10,23.998041,24.061193,23.682278,24.013828,21.680956,62832
2013-10-11,24.005936,24.519051,23.911205,24.511156,22.129972,54344
2013-10-14,24.30591,24.416428,24.195393,24.408533,22.037323,40410
2013-10-15,24.408533,24.582205,24.179605,24.242758,21.887644,51431
2013-10-16,24.329594,24.574308,24.076982,24.550627,22.165604,60298
2013-10-17,24.392744,24.984802,24.329594,24.795343,22.386559,65365
2013-10-18,25.040062,25.119001,24.708509,25.047955,22.614628,60425
2013-10-21,25.055849,25.229519,24.645355,24.92165,22.500593,60172
2013-10-22,24.984802,25.490025,24.82692,25.450554,22.978107,62705
2013-10-23,25.261095,25.48213,25.13479,25.347931,22.885454,50291
2013-10-24,25.324247,25.48213,25.047955,25.340036,22.87833,29262
2013-10-25,25.450554,25.513706,25.205837,25.48213,23.006618,40537
2013-10-28,25.576859,25.963671,25.497917,25.876835,23.36298,49404
2013-10-29,25.876835,25.995247,25.553177,25.805788,23.29884,80947
2013-10-30,25.797894,26.034718,25.561071,25.592648,23.106401,69546
2013-10-31,25.734741,25.845259,25.253201,25.261095,22.807062,67519
2013-11-01,25.213732,25.253201,24.779556,25.150578,22.707277,102482
2013-11-04,25.166367,25.403189,24.969013,25.347931,22.885454,59412
2013-11-05,25.213732,25.53739,24.945332,25.197943,22.750044,67139
2013-11-06,25.284779,25.568966,25.119001,25.245308,22.792805,78033
2013-11-07,25.284779,25.284779,24.345381,24.36117,21.994562,77780
2013-11-08,24.345381,24.897966,24.076982,24.858498,22.443571,72713
2013-11-11,24.732191,24.86639,24.613779,24.684828,22.286777,57765
2013-11-12,24.566416,24.945332,24.455898,24.905861,22.486336,73093
2013-11-13,24.700615,24.945332,24.487474,24.92165,22.500593,34963
2013-11-14,24.890074,25.174259,24.842709,24.913755,22.493456,50291
2013-11-15,24.874285,24.976908,24.597992,24.92165,22.500593,57258
2013-11-18,25.047955,25.047955,24.684828,24.874285,22.457825,37370
2013-11-19,24.82692,25.158472,24.732191,24.874285,22.457825,85380
2013-11-20,24.905861,25.040062,24.676933,24.803238,22.393686,75246
2013-11-21,24.984802,25.450554,24.858498,25.103214,22.664516,87534
2013-11-22,25.040062,25.561071,24.92165,25.332142,22.871206,88167
2013-11-25,25.300566,25.797894,25.063744,25.553177,23.070766,69546
2013-11-26,25.497917,26.018929,25.245308,25.790001,23.284576,64225
2013-11-27,25.734741,25.892624,25.36372,25.758423,23.256073,82213
2013-11-29,25.790001,25.82947,25.229519,25.300566,22.842699,35850
2013-12-02,25.237413,25.916306,25.008486,25.316355,22.856953,93614
2013-12-03,25.174259,25.679482,25.174259,25.592648,23.106401,132884
2013-12-04,25.450554,25.892624,25.355825,25.640013,23.149166,61438
2013-12-05,25.663694,25.790001,25.395294,25.671589,23.177673,48137
2013-12-06,25.82947,26.500467,25.71106,26.358374,23.797737,57005
2013-12-09,26.358374,26.618879,26.224174,26.366268,23.804869,47124
2013-12-10,26.255751,26.31101,25.679482,26.066294,23.53404,117303
2013-12-11,26.026821,26.232069,25.442659,25.48213,23.006618,119963
2013-12-12,25.497917,25.647905,25.040062,25.103214,22.664516,116289
2013-12-13,25.261095,25.521601,25.016378,25.213732,22.764297,61058
2013-12-16,25.284779,25.71106,25.26899,25.561071,23.077894,83353
2013-12-17,25.490025,25.663694,25.190048,25.434767,22.963863,77653
2013-12-18,25.466343,25.86894,25.355825,25.663694,23.170544,219911
2013-12-19,25.60054,25.797894,25.411083,25.529495,23.106245,105522
2013-12-20,25.624224,26.437315,25.592648,26.247856,23.756416,276029
2013-12-23,26.303116,26.579409,25.924198,26.074186,23.599232,188875
2013-12-24,26.003139,26.200493,25.947882,26.050505,23.577797,29516
2013-12-26,26.105762,26.208387,25.837364,25.971563,23.506353,100202
2013-12-27,26.121552,26.247856,26.011034,26.050505,23.577797,54724
2013-12-30,26.058399,26.208387,25.884729,25.979458,23.513498,97288
2013-12-31,26.113657,26.255751,25.6558,25.687376,23.249144,128070
2014-01-02,25.679482,25.750528,25.103214,25.197943,22.806166,127944
2014-01-03,25.205837,25.845259,25.197943,25.545282,23.120531,103748
2014-01-06,25.742636,25.782106,25.190048,25.245308,22.849035,128450
2014-01-07,25.276884,25.742636,25.276884,25.592648,23.163397,68279
2014-01-08,25.505812,25.505812,25.000589,25.197943,22.806166,67899
2014-01-09,25.332142,25.458448,24.961121,25.458448,23.041939,99948
2014-01-10,25.529495,25.529495,25.087425,25.30846,22.906193,114136
2014-01-13,25.300566,25.300566,24.740086,24.882179,22.520372,111349
2014-01-14,25.063744,25.253201,24.905861,25.103214,22.72043,373190
2014-01-15,25.103214,25.30846,24.984802,25.237413,22.84189,91968
2014-01-16,25.119001,25.379507,25.103214,25.284779,22.884758,49911
2014-01-17,25.190048,25.30846,24.92165,24.992697,22.620399,81707
2014-01-21,25.13479,25.150578,24.787451,24.992697,22.620399,102102
2014-01-22,24.992697,25.071636,24.913755,24.945332,22.577532,76513
2014-01-23,24.86639,24.905861,24.747978,24.811132,22.456066,90447
2014-01-24,24.621674,24.819027,24.30591,24.424322,22.105978,110209
2014-01-27,24.519051,24.724297,24.171711,24.463793,22.141697,90067
2014-01-28,24.550627,24.740086,24.345381,24.526945,22.19886,114643
2014-01-29,24.290121,24.353275,23.848053,23.855947,21.591553,103368
2014-01-30,24.061193,24.313805,23.729643,24.140135,21.848764,97921
2014-01-31,23.698065,24.179605,23.698065,23.950676,21.677288,100455
2014-02-03,23.848053,24.076982,22.813927,22.845503,20.677013,255761
2014-02-04,23.011278,23.216526,22.711304,23.066538,20.877073,169874
2014-02-05,23.011278,23.232313,22.806032,22.979704,20.798481,96781
2014-02-06,23.050751,23.342831,22.987597,23.153374,20.955664,100962
2014-02-07,23.18495,23.192842,22.884974,22.940231,20.762751,60805
2014-02-10,22.971809,23.161266,22.758669,23.019173,20.834198,66125
2014-02-11,22.971809,23.366512,22.900763,23.216526,21.012829,60805
2014-02-12,23.287573,23.287573,22.68762,22.74288,20.584133,80060
2014-02-13,22.608681,23.113901,22.584997,23.090219,20.898502,55611
2014-02-14,23.121796,24.029617,22.95602,23.95857,21.684437,169114
2014-02-18,23.911205,24.13224,23.595442,23.982252,21.705864,96148
2014-02-19,23.824371,24.124346,23.413877,23.477032,21.248594,81707
2014-02-20,23.500713,23.682278,23.429667,23.484924,21.255745,82720
2014-02-21,23.53229,23.587547,23.295467,23.382301,21.162863,114009
2014-02-24,23.445454,23.595442,23.350725,23.445454,21.220018,69039
2014-02-25,23.382301,23.674383,23.342831,23.421772,21.198586,61818
2014-02-26,23.5165,23.769112,23.350725,23.453348,21.227165,89434
2014-02-27,23.366512,23.57176,23.366512,23.508608,21.27718,50797
2014-02-28,23.555262,23.937414,23.449558,23.660963,21.472998,82402
2014-03-03,22.864134,23.482082,22.56329,23.449558,21.281143,379170
2014-03-04,23.717878,24.335829,23.555262,24.010592,21.790298,739154
2014-03-05,23.937414,23.994329,23.449558,23.563393,21.384453,130736
2014-03-06,23.563393,23.563393,23.221893,23.417036,21.251629,154472
2014-03-07,23.595917,23.693487,23.392643,23.652832,21.465618,99251
2014-03-10,23.579655,23.717878,23.46582,23.644701,21.458242,95315
2014-03-11,23.701618,23.701618,23.360119,23.530869,21.354937,136147
2014-03-12,23.376381,23.872368,23.376381,23.872368,21.664858,141558
2014-03-13,24.034985,24.034985,23.604048,23.709747,21.517279,99251
2014-03-14,23.587786,24.043116,23.587786,23.994329,21.775537,94700
2014-03-17,24.083771,24.433399,23.839844,23.896761,21.686993,134794
2014-03-18,23.864237,24.205734,23.864237,24.083771,21.856716,71702
2014-03-19,24.00246,24.059378,23.506475,23.758533,21.561554,92732
2014-03-20,23.73414,23.994329,23.660963,23.896761,21.686993,88305
2014-03-21,23.9862,24.319567,23.921152,24.00246,21.782913,265530
2014-03-24,24.034985,24.189472,23.750402,23.88863,21.679617,96053
2014-03-25,24.067509,24.221996,23.953676,24.091902,21.864092,50056
2014-03-26,24.270782,24.270782,23.88863,23.929283,21.716509,79081
2014-03-27,23.961807,24.100033,23.80732,23.913021,21.70175,68504
2014-03-28,23.913021,24.140688,23.847975,23.913021,21.70175,67397
2014-03-31,23.9862,24.465923,23.937414,24.34396,22.09285,92118
2014-04-01,24.327698,24.563496,24.287043,24.482185,22.218281,63093
2014-04-02,24.587887,24.604149,24.400875,24.482185,22.218281,57189
2014-04-03,24.433399,24.490316,24.238258,24.400875,22.144495,49195
2014-04-04,24.596018,24.596018,23.831713,23.88863,21.679617,112656
2014-04-07,23.847975,24.00246,23.685356,23.791058,21.591066,159884
2014-04-08,23.799189,24.07564,23.742271,23.880499,21.672235,77728
2014-04-09,23.969938,24.043116,23.774796,24.00246,21.782913,68135
2014-04-10,23.913021,24.148817,23.571524,23.660963,21.472998,101834
2014-04-11,23.46582,23.742271,23.327595,23.46582,21.295904,68996
2014-04-14,23.693487,24.051247,23.295073,23.547131,21.369694,57189
2014-04-15,23.539,23.604048,22.977966,23.189369,21.045013,87444
2014-04-16,23.303204,23.579655,23.034883,23.384512,21.222115,72317
2014-04-17,23.327595,23.539,23.108061,23.319466,21.163084,79081
2014-04-21,23.319466,23.417036,23.213762,23.270679,21.118807,43046
2014-04-22,23.425165,23.758533,23.295073,23.539,21.362312,76498
2014-04-23,23.46582,23.669094,23.189369,23.189369,21.045013,94208
2014-04-24,23.1975,23.408905,22.986097,23.002359,20.875294,43906
2014-04-25,22.847872,23.002359,22.620207,22.750299,20.646551,120528
2014-04-28,22.921049,23.132454,22.774693,23.002359,20.875294,71702
2014-04-29,23.148714,23.205631,22.83161,22.921049,20.80151,80803
2014-04-30,22.961704,23.018621,22.652731,22.921049,20.80151,91257
2014-05-01,22.945442,22.945442,22.39254,22.6446,20.550621,106753
2014-05-02,22.66086,22.896658,22.595814,22.636469,20.543242,65921
2014-05-05,22.522635,22.6446,22.368147,22.603945,20.513725,67766
2014-05-06,22.603945,22.709646,22.270576,22.278708,20.218565,96176
2014-05-07,22.376278,22.579552,22.238052,22.555159,20.469456,89904
2014-05-08,22.603945,22.839741,22.408802,22.701515,20.602274,136762
2014-05-09,22.66086,22.986097,22.66086,22.945442,20.823648,80311
2014-05-12,23.148714,23.417036,23.018621,23.270679,21.118807,104416
2014-05-13,23.230024,23.246286,22.994228,23.018621,20.890059,91872
2014-05-14,23.043013,23.075537,22.652731,22.701515,20.602274,132211
2014-05-15,22.538897,22.725908,22.449457,22.547028,20.462078,131351
2014-05-16,22.498241,22.823479,22.416933,22.774693,20.668684,101834
2014-05-19,22.6446,23.051144,22.6446,23.018621,20.890059,130613
2014-05-20,23.018621,23.083668,22.636469,22.823479,20.712959,164065
2014-05-21,23.002359,23.124323,22.717777,22.847872,20.735094,92732
2014-05-22,22.945442,23.148714,22.677122,23.034883,20.904812,66905
2014-05-23,23.075537,23.295073,22.994228,23.278811,21.12619,80557
2014-05-27,23.311335,23.693487,23.286942,23.669094,21.480383,72071
2014-05-28,23.595917,23.595917,23.351988,23.555262,21.377075,79081
2014-05-29,23.685356,23.872368,23.563393,23.774796,21.576309,73055
2014-05-30,23.88863,24.010592,23.555262,23.660963,21.472998,124586
