Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,6.856781,6.920152,6.856781,6.920152,3.20597,24222
2013-07-17,6.932826,6.970849,6.920152,6.920152,3.20597,13097
2013-07-18,6.996198,7.034221,6.970849,6.970849,3.229456,31560
2013-07-19,7.084918,7.110266,7.072243,7.110266,3.294046,4103
2013-07-22,7.160963,7.338403,7.097592,7.338403,3.399737,74718
2013-07-23,7.186312,7.186312,7.097592,7.097592,3.288173,1972
2013-07-24,7.173638,7.249683,7.173638,7.249683,3.358635,3077
2013-07-25,7.160963,7.160963,7.135615,7.135615,3.30579,7811
2013-07-26,7.084918,7.135615,6.996198,7.021546,3.252944,54520
2013-07-29,7.097592,7.097592,7.097592,7.097592,3.288173,1499
2013-07-30,7.135615,7.173638,7.12294,7.173638,3.323405,2604
2013-07-31,7.072243,7.160963,7.034221,7.072243,3.27643,1578
2013-08-01,7.072243,7.173638,7.072243,7.173638,3.323405,2919
2013-08-02,7.110266,7.287706,7.110266,7.287706,3.37625,7417
2013-08-05,7.160963,7.249683,7.160963,7.249683,3.358635,3787
2013-08-06,7.338403,7.338403,7.160963,7.30038,3.382122,10257
2013-08-07,7.224335,7.275032,7.110266,7.275032,3.370378,35900
2013-08-08,7.198986,7.224335,7.198986,7.224335,3.346891,1972
2013-08-09,7.313054,7.313054,7.313054,7.313054,3.387993,1578
2013-08-12,7.401774,7.401774,7.401774,7.401774,3.429095,3156
2013-08-13,7.401774,7.401774,7.401774,7.401774,3.429095,0
2013-08-14,7.465146,7.465146,7.338403,7.452471,3.452582,1578
2013-08-15,7.173638,7.30038,7.173638,7.30038,3.382122,3235
2013-08-16,7.224335,7.376426,7.21166,7.21166,3.341018,77874
2013-08-19,7.21166,7.363752,7.173638,7.224335,3.346891,41265
2013-08-20,7.173638,7.21166,7.160963,7.186312,3.329276,7495
2013-08-21,7.401774,7.401774,7.351077,7.351077,3.405609,4497
2013-08-22,7.173638,7.249683,7.173638,7.249683,3.358635,1341
2013-08-23,7.287706,7.465146,7.287706,7.465146,3.458455,2525
2013-08-26,7.465146,7.465146,7.465146,7.465146,3.458455,0
2013-08-27,7.275032,7.465146,7.262357,7.30038,3.382122,41501
2013-08-28,7.21166,7.414449,7.21166,7.414449,3.434968,2209
2013-08-29,7.249683,7.249683,7.249683,7.249683,3.358635,316
2013-08-30,7.186312,7.224335,7.186312,7.224335,3.346891,2367
2013-09-03,7.224335,7.224335,7.224335,7.224335,3.346891,1420
2013-09-04,7.224335,7.224335,7.186312,7.186312,3.329276,1499
2013-09-05,7.275032,7.275032,7.224335,7.224335,3.346891,17042
2013-09-06,7.198986,7.287706,7.198986,7.287706,3.37625,1657
2013-09-09,7.237009,7.287706,7.237009,7.287706,3.37625,3156
2013-09-10,7.363752,7.47782,7.363752,7.465146,3.458455,10967
2013-09-11,7.553866,7.553866,7.376426,7.376426,3.417352,28483
2013-09-12,7.56654,7.56654,7.541191,7.541191,3.493685,26826
2013-09-13,7.465146,7.465146,7.401774,7.401774,3.429095,552
2013-09-16,7.465146,7.541191,7.439797,7.541191,3.493685,8995
2013-09-17,7.452471,7.617237,7.452471,7.617237,3.528915,8995
2013-09-18,7.705957,7.705957,7.705957,7.705957,3.570017,789
2013-09-19,7.782003,7.782003,7.604563,7.617237,3.528915,8600
2013-09-20,7.667934,7.667934,7.667934,7.667934,3.552402,158
2013-09-23,7.667934,7.718631,7.591888,7.604563,3.523044,22723
2013-09-24,7.515843,7.541191,7.515843,7.541191,3.493685,4103
2013-09-25,7.503169,7.503169,7.249683,7.249683,3.358635,24538
2013-09-26,7.287706,7.439797,7.287706,7.439797,3.446711,5602
2013-09-27,7.363752,7.503169,7.363752,7.503169,3.47607,5207
2013-09-30,7.363752,7.465146,7.325729,7.325729,3.393865,6628
2013-10-01,7.313054,7.3891,7.313054,7.3891,3.423223,2919
2013-10-02,7.262357,7.351077,7.237009,7.351077,3.405609,134051
2013-10-03,7.439797,7.490494,7.439797,7.490494,3.470198,2288
2013-10-04,7.452471,7.452471,7.439797,7.439797,3.446711,1578
2013-10-07,7.363752,7.427123,7.351077,7.427123,3.440839,1341
2013-10-08,7.427123,7.452471,7.12294,7.12294,3.299917,27299
2013-10-09,7.110266,7.110266,7.110266,7.110266,3.294046,39450
2013-10-10,7.173638,7.287706,7.135615,7.249683,3.358635,59412
2013-10-11,7.173638,7.173638,7.173638,7.173638,3.323405,316
2013-10-14,7.224335,7.363752,7.224335,7.275032,3.370378,27694
2013-10-15,7.427123,7.427123,7.427123,7.427123,3.440839,46709
2013-10-16,7.376426,7.503169,7.376426,7.452471,3.452582,2761
2013-10-17,7.465146,7.629911,7.465146,7.553866,3.499556,8995
2013-10-18,7.604563,7.604563,7.604563,7.604563,3.523044,10730
2013-10-21,7.515843,7.756654,7.515843,7.642586,3.540659,4103
2013-10-22,7.579214,7.693283,7.56654,7.56654,3.505428,101860
2013-10-23,7.731305,7.731305,7.515843,7.604563,3.523044,12782
2013-10-24,7.541191,7.667934,7.541191,7.667934,3.552402,9310
2013-10-25,7.528517,7.617237,7.503169,7.617237,3.528915,25800
2013-10-28,7.667934,7.667934,7.541191,7.541191,3.493685,20198
2013-10-29,7.591888,7.591888,7.439797,7.465146,3.458455,7022
2013-10-30,7.579214,7.604563,7.465146,7.465146,3.458455,7259
2013-10-31,7.503169,7.503169,7.401774,7.401774,3.429095,17358
2013-11-01,7.325729,7.351077,7.325729,7.351077,3.405609,130264
2013-11-04,7.427123,7.427123,7.351077,7.351077,3.405609,81346
2013-11-05,7.351077,7.465146,7.351077,7.351077,3.405609,2446
2013-11-06,7.401774,7.490494,7.338403,7.490494,3.470198,50812
2013-11-07,7.47782,7.541191,7.363752,7.515843,3.481941,20514
2013-11-08,7.465146,7.47782,7.363752,7.363752,3.411481,21461
2013-11-11,7.541191,7.541191,7.401774,7.401774,3.429095,14044
2013-11-12,7.47782,7.515843,7.47782,7.503169,3.47607,44657
2013-11-13,7.452471,7.503169,7.351077,7.503169,3.47607,7732
2013-11-14,7.224335,7.30038,7.224335,7.237009,3.352763,33059
2013-11-15,7.173638,7.30038,7.173638,7.21166,3.341018,43158
2013-11-18,7.275032,7.3891,7.237009,7.287706,3.37625,26747
2013-11-19,7.313054,7.363752,7.224335,7.363752,3.411481,8679
2013-11-20,7.363752,7.363752,7.110266,7.110266,3.294046,11362
2013-11-21,7.160963,7.30038,7.160963,7.186312,3.329276,6075
2013-11-22,7.224335,7.313054,7.224335,7.313054,3.387993,11283
2013-11-25,7.249683,7.338403,7.237009,7.262357,3.364507,51048
2013-11-26,7.186312,7.186312,7.110266,7.186312,3.329276,307158
2013-11-27,7.084918,7.224335,7.084918,7.097592,3.288173,23591
2013-11-29,7.30038,7.30038,7.30038,7.30038,3.382122,6628
2013-12-02,6.996198,7.148289,6.996198,7.148289,3.311661,8442
2013-12-03,7.148289,7.173638,7.097592,7.097592,3.288173,35663
2013-12-04,6.970849,7.160963,6.970849,7.008872,3.247072,23670
2013-12-05,6.970849,7.008872,6.844106,6.958175,3.223584,19962
2013-12-06,6.856781,6.970849,6.856781,6.932826,3.211841,12545
2013-12-09,6.856781,6.970849,6.856781,6.869455,3.182482,39134
2013-12-10,6.869455,6.983523,6.856781,6.856781,3.176611,6154
2013-12-11,6.856781,6.932826,6.742712,6.742712,3.123765,18463
2013-12-12,6.818758,6.818758,6.653992,6.653992,3.082663,6470
2013-12-13,6.818758,6.818758,6.730038,6.730038,3.117893,7022
2013-12-16,6.628644,6.869455,6.628644,6.869455,3.182482,57045
2013-12-17,6.717364,6.717364,6.666667,6.717364,3.112022,3472
2013-12-18,6.577947,6.679341,6.539924,6.539924,3.029817,278044
2013-12-19,6.603295,6.742712,6.603295,6.730038,3.117893,37635
2013-12-20,6.768061,6.945501,6.768061,6.907478,3.200098,35978
2013-12-23,6.907478,7.034221,6.907478,6.996198,3.2412,278517
2013-12-24,7.034221,7.084918,7.034221,7.084918,3.282303,16964
2013-12-26,6.983523,7.059569,6.983523,7.059569,3.270559,2919
2013-12-27,7.097592,7.21166,7.084918,7.148289,3.311661,27063
2013-12-30,7.034221,7.034221,7.034221,7.034221,3.258815,631
2013-12-31,7.008872,7.021546,6.996198,7.021546,3.252944,7811
2014-01-02,6.844106,6.932826,6.844106,6.844106,3.170739,14439
2014-01-03,6.856781,6.932826,6.856781,6.907478,3.200098,99256
2014-01-06,6.970849,6.970849,6.894804,6.920152,3.20597,15385
2014-01-07,6.920152,6.945501,6.869455,6.920152,3.20597,32349
2014-01-08,6.793409,6.869455,6.780735,6.806084,3.153124,32507
2014-01-09,6.806084,6.856781,6.717364,6.742712,3.123765,18936
2014-01-10,6.742712,6.768061,6.704689,6.755387,3.129637,10257
2014-01-13,6.806084,6.856781,6.780735,6.806084,3.153124,59017
2014-01-14,6.882129,6.945501,6.882129,6.882129,3.188354,7101
2014-01-15,6.844106,6.945501,6.844106,6.882129,3.188354,12703
2014-01-16,6.958175,6.958175,6.907478,6.920152,3.20597,11440
2014-01-17,6.932826,6.945501,6.844106,6.844106,3.170739,31718
2014-01-21,6.920152,6.958175,6.907478,6.920152,3.20597,14596
2014-01-22,6.920152,6.996198,6.920152,6.996198,3.2412,10415
2014-01-23,6.958175,6.958175,6.907478,6.932826,3.211841,8521
2014-01-24,6.856781,6.894804,6.793409,6.869455,3.182482,111801
2014-01-27,6.869455,6.882129,6.831432,6.869455,3.182482,34164
2014-01-28,6.768061,6.818758,6.742712,6.793409,3.147252,14044
2014-01-29,6.768061,6.793409,6.768061,6.768061,3.135509,36294
2014-01-30,6.730038,6.742712,6.730038,6.742712,3.123765,37083
2014-01-31,6.730038,6.730038,6.653992,6.653992,3.082663,24301
2014-02-03,6.653992,6.755387,6.539924,6.539924,3.029817,27378
2014-02-04,6.52725,6.539924,6.476553,6.489227,3.006331,101150
2014-02-05,6.552598,6.552598,6.489227,6.552598,3.035689,7574
2014-02-06,6.755387,6.755387,6.666667,6.666667,3.088535,8679
2014-02-07,6.704689,6.742712,6.704689,6.730038,3.117893,12466
2014-02-10,6.717364,6.780735,6.692015,6.742712,3.123765,15464
2014-02-11,6.692015,6.692015,6.61597,6.641318,3.076792,27773
2014-02-12,6.844106,6.844106,6.780735,6.780735,3.141381,22250
2014-02-13,6.806084,6.882129,6.806084,6.856781,3.176611,40081
2014-02-14,6.844106,6.945501,6.844106,6.932826,3.211841,482395
2014-02-18,6.958175,6.996198,6.958175,6.996198,3.2412,124662
2014-02-19,7.021546,7.262357,7.021546,7.097592,3.288173,196855
2014-02-20,7.097592,7.12294,7.034221,7.110266,3.294046,49786
2014-02-21,7.110266,7.110266,7.084918,7.084918,3.282303,44105
2014-02-24,7.059569,7.097592,6.996198,7.008872,3.247072,41107
2014-02-25,7.12294,7.173638,7.059569,7.12294,3.299917,23354
2014-02-26,6.844106,6.920152,6.844106,6.920152,3.20597,12387
2014-02-27,6.970849,7.046895,6.970849,7.034221,3.258815,281989
2014-02-28,6.958175,7.059569,6.894804,6.996198,3.2412,47340
2014-03-03,6.856781,6.856781,6.780735,6.780735,3.141381,24696
2014-03-04,6.907478,6.996198,6.869455,6.894804,3.194227,57202
2014-03-05,6.958175,7.021546,6.958175,6.983523,3.235328,24143
2014-03-06,6.907478,6.945501,6.869455,6.932826,3.211841,42685
2014-03-07,6.932826,6.983523,6.806084,6.882129,3.188354,100124
2014-03-10,6.806084,6.844106,6.780735,6.780735,3.141381,10888
2014-03-11,6.730038,6.730038,6.603295,6.692015,3.100278,224234
2014-03-12,6.628644,6.704689,6.590621,6.653992,3.082663,22565
2014-03-13,6.387833,6.514575,6.299113,6.387833,2.959357,24932
2014-03-14,6.362484,6.463878,6.324461,6.43853,2.982843,24932
2014-03-17,6.324461,6.463878,6.311787,6.311787,2.924126,9389
2014-03-18,6.375158,6.375158,6.286439,6.362484,2.947613,24775
2014-03-19,6.324461,6.324461,6.210393,6.235741,2.888896,6706
2014-03-20,6.147022,6.197719,6.121673,6.147022,2.847794,125293
2014-03-21,6.08365,6.134347,6.070976,6.08365,2.818434,34637
2014-03-24,6.159696,6.159696,6.121673,6.121673,2.83605,8679
2014-03-25,6.159696,6.223067,6.108999,6.223067,2.883024,39213
2014-03-26,6.223067,6.286439,6.17237,6.17237,2.859537,21855
2014-03-27,6.197719,6.210393,6.17237,6.197719,2.87128,16885
2014-03-28,6.248416,6.324461,6.248416,6.248416,2.894768,19646
2014-03-31,6.311787,6.311787,6.223067,6.273764,2.906511,220052
2014-04-01,6.223067,6.248416,6.147022,6.197719,2.87128,197881
