Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,4.46,4.46,4.46,4.46,3.865247,100
2013-07-17,4.46,4.46,4.46,4.46,3.865247,0
2013-07-18,4.46,4.46,4.46,4.46,3.865247,0
2013-07-19,4.46,4.46,4.46,4.46,3.865247,0
2013-07-22,4.46,4.46,4.46,4.46,3.865247,0
2013-07-23,4.46,4.46,4.46,4.46,3.865247,0
2013-07-24,4.4,4.4,4.4,4.4,3.813247,100
2013-07-25,4.4,4.4,4.4,4.4,3.813247,0
2013-07-26,4.4,4.4,4.4,4.4,3.813247,0
2013-07-29,4.4,4.4,4.4,4.4,3.813247,0
2013-07-30,4.4,4.4,4.4,4.4,3.813247,0
2013-07-31,4.25,4.25,4.24,4.24,3.674584,1900
2013-08-01,4.24,4.24,4.24,4.24,3.674584,0
2013-08-02,4.24,4.24,4.24,4.24,3.674584,0
2013-08-05,4.24,4.24,4.24,4.24,3.674584,0
2013-08-06,4.24,4.24,4.24,4.24,3.674584,0
2013-08-07,4.28,4.28,4.28,4.28,3.709249,700
2013-08-08,4.28,4.28,4.28,4.28,3.709249,0
2013-08-09,4.28,4.28,4.28,4.28,3.709249,0
2013-08-12,4.28,4.28,4.28,4.28,3.709249,0
2013-08-13,4.28,4.28,4.28,4.28,3.709249,0
2013-08-14,4.28,4.28,4.28,4.28,3.709249,0
2013-08-15,4.28,4.28,4.28,4.28,3.709249,0
2013-08-16,4.28,4.28,4.28,4.28,3.709249,0
2013-08-19,4.28,4.28,4.28,4.28,3.709249,0
2013-08-20,4.28,4.28,4.28,4.28,3.709249,0
2013-08-21,4.3,4.3,4.3,4.3,3.726583,1900
2013-08-22,4.3,4.3,4.3,4.3,3.726583,0
2013-08-23,4.3,4.3,4.3,4.3,3.726583,0
2013-08-26,4.3,4.3,4.3,4.3,3.726583,0
2013-08-27,4.3,4.3,4.3,4.3,3.726583,0
2013-08-28,4.3,4.3,4.3,4.3,3.726583,0
2013-08-29,4.3,4.3,4.3,4.3,3.726583,0
2013-08-30,4.19,4.19,4.19,4.19,3.631252,100
2013-09-03,4.19,4.19,4.19,4.19,3.631252,0
2013-09-04,4.26,4.26,4.26,4.26,3.691917,2500
2013-09-05,4.26,4.26,4.26,4.26,3.691917,0
2013-09-06,4.19,4.19,4.19,4.19,3.631252,300
2013-09-09,4.19,4.19,4.19,4.19,3.631252,0
2013-09-10,4.19,4.19,4.19,4.19,3.631252,0
2013-09-11,4.19,4.19,4.19,4.19,3.631252,0
2013-09-12,4.19,4.19,4.19,4.19,3.631252,0
