Date,Open,High,Low,Close,Adj Close,Volume
2015-12-15,9.6,9.6,9.6,9.6,9.6,500000
2015-12-16,9.6,9.6,9.6,9.6,9.6,0
2015-12-17,9.64,9.64,9.64,9.64,9.64,400
2015-12-18,9.64,9.64,9.64,9.64,9.64,0
2015-12-21,9.64,9.64,9.64,9.64,9.64,0
2015-12-22,9.64,9.64,9.64,9.64,9.64,0
2015-12-23,10.0,10.0,10.0,10.0,10.0,400
2015-12-24,10.0,10.0,10.0,10.0,10.0,0
2015-12-28,10.0,10.0,10.0,10.0,10.0,0
2015-12-29,10.0,10.0,10.0,10.0,10.0,0
2015-12-30,10.0,10.0,10.0,10.0,10.0,0
2015-12-31,10.0,10.0,10.0,10.0,10.0,0
2016-01-04,10.0,10.0,10.0,10.0,10.0,0
2016-01-05,10.0,10.0,10.0,10.0,10.0,0
2016-01-06,10.0,10.0,10.0,10.0,10.0,0
2016-01-07,10.0,10.0,10.0,10.0,10.0,0
2016-01-08,10.0,10.0,10.0,10.0,10.0,0
2016-01-11,10.0,10.0,10.0,10.0,10.0,0
2016-01-12,10.0,10.0,10.0,10.0,10.0,0
2016-01-13,10.0,10.0,10.0,10.0,10.0,0
2016-01-14,9.57,9.57,9.57,9.57,9.57,215000
2016-01-15,9.57,9.57,9.57,9.57,9.57,0
2016-01-19,9.57,9.57,9.52,9.52,9.52,178200
2016-01-20,9.51,9.55,9.51,9.55,9.55,600
2016-01-21,9.67,9.69,9.67,9.69,9.69,400
2016-01-22,9.69,9.69,9.69,9.69,9.69,0
2016-01-25,9.69,9.69,9.69,9.69,9.69,0
2016-01-26,9.69,9.69,9.69,9.69,9.69,0
2016-01-27,9.69,9.69,9.69,9.69,9.69,0
2016-01-28,9.5,9.55,9.5,9.53,9.53,509000
2016-01-29,9.55,9.67,9.55,9.67,9.67,25100
2016-02-01,9.67,9.67,9.67,9.67,9.67,0
2016-02-02,9.73,9.73,9.73,9.73,9.73,1100
2016-02-03,9.75,9.75,9.75,9.75,9.75,700
2016-02-04,9.84,9.85,9.84,9.85,9.85,1100
2016-02-05,9.85,9.85,9.85,9.85,9.85,0
2016-02-08,9.85,9.85,9.85,9.85,9.85,0
2016-02-09,9.85,9.85,9.85,9.85,9.85,0
2016-02-10,9.85,9.85,9.85,9.85,9.85,0
2016-02-11,9.85,9.85,9.85,9.85,9.85,0
2016-02-12,9.85,9.85,9.85,9.85,9.85,0
2016-02-16,9.85,9.85,9.85,9.85,9.85,0
2016-02-17,9.734,9.734,9.734,9.734,9.734,200
2016-02-18,9.734,9.734,9.734,9.734,9.734,0
2016-02-19,9.734,9.734,9.734,9.734,9.734,0
2016-02-22,9.734,9.734,9.734,9.734,9.734,0
2016-02-23,9.734,9.734,9.734,9.734,9.734,0
2016-02-24,9.734,9.734,9.734,9.734,9.734,0
2016-02-25,9.734,9.734,9.734,9.734,9.734,0
2016-02-26,9.72,9.75,9.72,9.75,9.75,1200
2016-02-29,9.75,9.75,9.7,9.725,9.725,3400
2016-03-01,9.75,9.75,9.75,9.75,9.75,1200
2016-03-02,9.75,9.75,9.75,9.75,9.75,10000
2016-03-03,9.75,9.75,9.75,9.75,9.75,0
2016-03-04,9.75,9.75,9.75,9.75,9.75,0
2016-03-07,9.75,9.75,9.75,9.75,9.75,0
2016-03-08,9.75,9.75,9.75,9.75,9.75,0
2016-03-09,9.75,9.75,9.75,9.75,9.75,600
2016-03-10,9.75,9.75,9.75,9.75,9.75,600
2016-03-11,9.75,9.75,9.75,9.75,9.75,1200
2016-03-14,9.74,9.75,9.7,9.74,9.74,4400
2016-03-15,9.75,9.75,9.51,9.51,9.51,4500
2016-03-16,9.73,9.75,9.6,9.74,9.74,26700
2016-03-17,9.74,9.74,9.52,9.52,9.52,4900
2016-03-18,9.74,9.74,9.52,9.52,9.52,4700
2016-03-21,9.73,9.75,9.51,9.51,9.51,4800
2016-03-22,9.74,9.74,9.6,9.6,9.6,5000
2016-03-23,9.74,9.74,9.72,9.72,9.72,1100
2016-03-24,9.72,9.72,9.72,9.72,9.72,0
2016-03-28,9.72,9.72,9.72,9.72,9.72,0
2016-03-29,9.75,9.76,9.75,9.76,9.76,1300
2016-03-30,9.67,9.67,9.67,9.67,9.67,385000
2016-03-31,9.75,9.75,9.75,9.75,9.75,100
2016-04-01,9.75,9.75,9.75,9.75,9.75,0
2016-04-04,9.75,9.75,9.75,9.75,9.75,0
2016-04-05,9.75,9.75,9.75,9.75,9.75,0
2016-04-06,9.75,9.75,9.75,9.75,9.75,1000
2016-04-07,9.75,9.75,9.75,9.75,9.75,0
2016-04-08,9.75,9.75,9.75,9.75,9.75,0
2016-04-11,9.75,9.75,9.75,9.75,9.75,0
2016-04-12,9.75,9.75,9.75,9.75,9.75,0
2016-04-13,9.75,9.75,9.75,9.75,9.75,0
2016-04-14,9.75,9.75,9.75,9.75,9.75,0
2016-04-15,9.75,9.75,9.75,9.75,9.75,0
2016-04-18,9.75,9.75,9.75,9.75,9.75,0
2016-04-19,9.75,9.75,9.75,9.75,9.75,0
2016-04-20,9.74,9.74,9.74,9.74,9.74,200
2016-04-21,9.58,9.6,9.54,9.54,9.54,1900
2016-04-22,9.54,9.54,9.54,9.54,9.54,0
2016-04-25,9.54,9.54,9.54,9.54,9.54,0
2016-04-26,9.54,9.54,9.54,9.54,9.54,0
2016-04-27,9.65,9.7,9.55,9.55,9.55,1600
2016-04-28,9.55,9.55,9.55,9.55,9.55,0
2016-04-29,9.75,9.75,9.75,9.75,9.75,100
2016-05-02,9.75,9.75,9.75,9.75,9.75,0
2016-05-03,9.75,9.75,9.75,9.75,9.75,0
2016-05-04,9.55,9.8,9.55,9.56,9.56,42600
2016-05-05,9.66,9.67,9.65,9.67,9.67,2700
2016-05-06,9.8,9.8,9.8,9.8,9.8,100
2016-05-09,9.7,9.7,9.7,9.7,9.7,100
2016-05-10,9.6,9.6,9.6,9.6,9.6,100
2016-05-11,9.6,9.6,9.6,9.6,9.6,100
2016-05-12,9.6,9.6,9.6,9.6,9.6,100
2016-05-13,9.6,9.6,9.6,9.6,9.6,0
2016-05-16,9.7,9.7,9.5,9.55,9.55,12700
2016-05-17,9.6,9.62,9.6,9.62,9.62,12800
2016-05-18,9.62,9.62,9.62,9.62,9.62,200
2016-05-19,9.62,9.62,9.62,9.62,9.62,300
2016-05-20,9.67,9.7,9.67,9.68,9.68,300
2016-05-23,9.62,9.62,9.62,9.62,9.62,100
2016-05-24,9.71,9.71,9.62,9.62,9.62,64400
2016-05-25,9.68,9.71,9.68,9.71,9.71,429700
2016-05-26,9.64,9.64,9.64,9.64,9.64,100
2016-05-27,9.64,9.64,9.64,9.64,9.64,0
2016-05-31,9.71,9.71,9.71,9.71,9.71,100
2016-06-01,9.71,9.71,9.71,9.71,9.71,0
2016-06-02,9.66,9.66,9.66,9.66,9.66,100
2016-06-03,9.66,9.66,9.66,9.66,9.66,0
2016-06-06,9.66,9.683,9.65,9.66,9.66,1900
2016-06-07,9.66,9.66,9.66,9.66,9.66,100
2016-06-08,9.66,9.66,9.65,9.66,9.66,8100
2016-06-09,9.66,9.66,9.66,9.66,9.66,0
2016-06-10,9.67,9.67,9.67,9.67,9.67,100
2016-06-13,9.67,9.67,9.67,9.67,9.67,0
2016-06-14,9.72,9.72,9.72,9.72,9.72,200
2016-06-15,9.65,9.65,9.65,9.65,9.65,100
2016-06-16,9.69,9.75,9.69,9.75,9.75,2800
2016-06-17,9.65,9.65,9.65,9.65,9.65,100
2016-06-20,9.65,9.65,9.65,9.65,9.65,100
2016-06-21,9.68,9.68,9.68,9.68,9.68,100
2016-06-22,9.66,9.66,9.66,9.66,9.66,100
2016-06-23,9.66,9.66,9.66,9.66,9.66,0
2016-06-24,9.67,9.75,9.67,9.75,9.75,4100
2016-06-27,9.74,9.75,9.7,9.7,9.7,2100
2016-06-28,9.68,9.705,9.68,9.68,9.68,3800
2016-06-29,9.75,9.75,9.71,9.74,9.74,2800
2016-06-30,9.74,9.74,9.74,9.74,9.74,0
2016-07-01,9.72,9.78,9.72,9.78,9.78,69500
2016-07-05,10.09,10.11,9.96,10.01,10.01,1933800
2016-07-06,10.05,10.75,10.04,10.15,10.15,1572200
2016-07-07,10.15,10.3,10.1,10.2,10.2,1808100
2016-07-08,10.24,10.25,10.16,10.22,10.22,821200
2016-07-11,10.24,10.29,10.18,10.18,10.18,1975900
2016-07-12,10.24,10.25,10.212,10.23,10.23,347400
2016-07-13,10.25,10.36,10.22,10.22,10.22,144200
2016-07-14,10.25,10.25,10.04,10.19,10.19,240700
2016-07-15,10.15,10.25,10.15,10.21,10.21,113800
2016-07-18,10.19,10.23,10.15,10.2,10.2,106500
2016-07-19,10.21,10.28,10.19,10.25,10.25,2626300
2016-07-20,10.278,10.44,10.26,10.4,10.4,2211100
2016-07-21,10.42,10.424,10.28,10.32,10.32,46700
2016-07-22,10.27,10.4,10.243,10.37,10.37,386200
2016-07-25,10.45,10.45,10.34,10.34,10.34,274100
2016-07-26,10.36,10.365,10.25,10.28,10.28,112600
2016-07-27,10.3,10.35,10.29,10.34,10.34,157200
2016-07-28,10.349,10.35,10.24,10.25,10.25,236600
2016-07-29,10.24,10.3,10.24,10.29,10.29,25500
2016-08-01,10.21,10.4,10.21,10.35,10.35,283200
2016-08-02,10.4,10.4,10.3,10.37,10.37,301400
2016-08-03,10.38,10.39,10.37,10.38,10.38,125100
2016-08-04,10.37,10.41,10.37,10.37,10.37,217600
2016-08-05,10.4,10.44,10.39,10.4,10.4,561700
2016-08-08,10.449,10.45,10.35,10.42,10.42,231600
2016-08-09,10.5,10.63,10.44,10.6,10.6,2406800
2016-08-10,10.63,10.95,10.51,10.85,10.85,3159000
2016-08-11,10.89,10.95,10.77,10.85,10.85,2498300
2016-08-12,10.85,10.91,10.766,10.8,10.8,661700
2016-08-15,10.88,10.9,10.48,10.67,10.67,526000
2016-08-16,10.75,10.88,10.6,10.72,10.72,338100
2016-08-17,10.74,10.84,10.65,10.73,10.73,961700
2016-08-18,10.75,10.87,10.73,10.86,10.86,690800
2016-08-19,10.88,11.09,10.855,10.92,10.92,2819600
2016-08-22,10.93,11.09,10.93,11.05,11.05,1104700
2016-08-23,11.08,11.09,10.94,11.0,11.0,175500
2016-08-24,11.03,11.04,10.95,10.98,10.98,89900
2016-08-25,10.98,11.07,10.89,10.92,10.92,207400
2016-08-26,10.93,11.05,10.92,10.96,10.96,176900
2016-08-29,10.96,11.025,10.92,10.97,10.97,75800
2016-08-30,11.04,11.04,10.92,10.99,10.99,138500
2016-08-31,10.99,11.06,10.92,10.99,10.99,843000
2016-09-01,10.99,11.09,10.96,11.03,11.03,402700
2016-09-02,11.11,11.15,11.03,11.05,11.05,112100
2016-09-06,11.06,11.06,10.97,11.02,11.02,368500
2016-09-07,11.04,11.155,10.98,11.05,11.05,213000
2016-09-08,11.04,11.14,11.01,11.09,11.09,381600
2016-09-09,11.14,11.14,10.98,11.0,11.0,482100
2016-09-12,10.95,11.01,10.95,11.0,11.0,172400
2016-09-13,10.87,10.98,10.75,10.85,10.85,243800
2016-09-14,10.76,10.9,10.73,10.84,10.84,310300
2016-09-15,10.88,10.935,10.78,10.885,10.885,484400
2016-09-16,10.84,10.88,10.75,10.87,10.87,368600
2016-09-19,10.75,10.89,10.7,10.74,10.74,705900
2016-09-20,10.75,10.77,10.65,10.7,10.7,911700
2016-09-21,10.74,10.8,10.69,10.73,10.73,480200
2016-09-22,10.79,10.8,10.74,10.78,10.78,1042200
2016-09-23,10.75,10.8,10.73,10.78,10.78,1000900
2016-09-26,10.7,10.8,10.7,10.78,10.78,1121900
2016-09-27,10.71,10.83,10.71,10.78,10.78,1220500
2016-09-28,10.79,10.89,10.78,10.82,10.82,1892400
2016-09-29,10.89,10.9,10.72,10.83,10.83,557200
2016-09-30,10.88,10.88,10.76,10.8,10.8,707900
2016-10-03,10.84,10.9,10.76,10.81,10.81,830500
2016-10-04,10.7,10.84,10.668,10.8,10.8,683500
2016-10-05,10.83,10.83,10.74,10.8,10.8,585900
2016-10-06,10.77,10.83,10.75,10.78,10.78,742700
2016-10-07,10.8,10.885,10.76,10.81,10.81,831100
2016-10-10,10.75,11.015,10.73,11.0,11.0,917800
2016-10-11,10.97,11.08,10.85,10.98,10.98,1270000
2016-10-12,10.7,11.075,10.7,11.0,11.0,794800
2016-10-13,10.95,11.05,10.82,11.02,11.02,264800
2016-10-14,11.0,11.19,11.0,11.19,11.19,409100
2016-10-17,11.21,11.44,11.15,11.37,11.37,553700
2016-10-18,11.4,11.505,11.37,11.47,11.47,802700
2016-10-19,11.42,11.55,11.42,11.53,11.53,933700
2016-10-20,11.58,11.58,11.3,11.47,11.47,126600
2016-10-21,11.48,11.75,11.477,11.73,11.73,1076400
2016-10-24,11.69,11.75,11.53,11.69,11.69,584500
2016-10-25,11.74,11.74,11.58,11.67,11.67,184200
2016-10-26,11.634,11.65,11.54,11.6,11.6,252600
2016-10-27,11.62,11.65,11.53,11.58,11.58,171200
2016-10-28,11.63,11.67,11.39,11.54,11.54,432500
2016-10-31,11.58,11.59,11.37,11.39,11.39,214900
2016-11-01,11.46,11.496,11.13,11.36,11.36,236500
2016-11-02,11.18,11.65,11.16,11.28,11.28,337900
2016-11-03,11.68,11.68,11.19,11.4,11.4,191800
2016-11-04,11.35,11.58,11.21,11.48,11.48,311000
2016-11-07,12.05,12.2,11.52,11.99,11.99,1957700
