Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,37.990002,37.990002,37.150002,37.25,29.971594,21100
2021-05-17,37.0,38.5,37.0,38.5,30.977352,17300
2021-05-18,38.0,38.0,37.950001,38.0,30.575054,5100
2021-05-19,38.0,38.0,38.0,38.0,30.575054,900
2021-05-20,38.549999,38.549999,37.650002,38.5,30.977352,110500
2021-05-21,39.0,39.0,39.0,39.0,31.379654,47600
2021-05-24,38.0,38.75,38.0,38.75,31.178505,65800
2021-05-25,39.25,39.25,38.450001,38.450001,30.937124,60500
2021-05-26,38.450001,38.450001,38.450001,38.450001,30.937124,137500
2021-05-27,39.25,39.349998,38.650002,39.349998,31.661264,101400
2021-05-28,38.18,38.75,38.18,38.75,31.178505,35200
2021-06-01,38.400002,39.25,38.200001,39.25,31.580809,1200
2021-06-02,38.75,38.950001,38.049999,38.849998,31.258966,5000
2021-06-03,38.849998,38.849998,38.849998,38.849998,31.258966,800
2021-06-04,37.700001,38.599998,37.700001,38.599998,31.057814,6000
2021-06-07,38.950001,38.950001,38.950001,38.950001,31.339426,1500
2021-06-08,38.950001,38.950001,38.950001,38.950001,32.257034,300
2021-06-09,37.0,37.0,37.0,37.0,30.642113,800
2021-06-10,37.25,38.5,37.0,37.0,30.642113,24100
2021-06-11,37.25,38.650002,37.25,38.5,31.884359,2100
2021-06-14,38.75,38.75,38.75,38.75,32.0914,1300
2021-06-15,39.240002,39.240002,39.0,39.0,32.298439,800
2021-06-16,39.16,39.16,38.0,38.0,31.470282,1400
2021-06-17,35.849998,38.25,35.849998,35.849998,29.68972,2600
2021-06-18,38.810001,38.830002,38.779999,38.830002,32.157654,2500
2021-06-21,40.09,40.09,39.0,40.09,33.201141,1300
2021-06-22,39.0,39.0,37.169998,38.849998,32.174217,4200
2021-06-23,37.5,40.040001,37.5,40.040001,33.159733,900
2021-06-24,39.889999,39.889999,39.880001,39.880001,33.027229,3700
2021-06-25,37.18,39.700001,37.18,39.700001,32.878159,1800
2021-06-28,41.580002,41.580002,41.580002,41.580002,34.435108,500
2021-06-29,41.049999,41.049999,38.5,41.049999,33.996181,1400
2021-06-30,41.169998,41.169998,41.169998,41.169998,34.095562,800
2021-07-01,41.25,41.25,38.669998,41.249001,34.160984,6500
2021-07-02,40.125,40.125,40.125,40.125,33.230122,600
2021-07-06,41.619999,41.619999,38.990002,41.610001,34.459953,3500
2021-07-07,41.709999,41.709999,41.709,41.709,34.541939,1500
2021-07-08,40.549999,40.549999,40.292999,40.292999,33.369259,2000
2021-07-09,41.790001,41.790001,41.790001,41.790001,34.60902,1600
