Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,25.23,25.559999,24.93,25.469999,15.611346,500
2013-07-17,25.6,26.879999,24.940001,26.360001,16.156853,3000
2013-07-18,26.41,26.49,24.98,26.49,16.236534,1500
2013-07-19,26.0,26.389999,25.870001,26.040001,15.960716,4000
2013-07-22,25.07,26.76,25.07,26.110001,16.00362,4600
2013-07-23,26.190001,26.799999,26.190001,26.719999,16.377508,700
2013-07-24,26.85,26.85,26.1,26.1,15.997494,900
2013-07-25,26.389999,26.860001,26.389999,26.469999,16.224276,1400
2013-07-26,26.65,27.379999,26.65,27.379999,16.782042,2400
2013-07-29,27.379999,27.969999,27.27,27.75,17.008827,8500
2013-07-30,27.82,27.82,27.469999,27.75,17.008827,2100
2013-07-31,27.889999,28.040001,27.42,27.530001,16.873987,6200
2013-08-01,27.700001,27.9,27.5,27.85,17.070122,2600
2013-08-02,27.59,27.99,27.549999,27.75,17.008827,3600
2013-08-05,27.780001,28.0,27.549999,27.75,17.008827,1500
2013-08-06,27.549999,27.75,27.549999,27.74,17.002695,800
2013-08-07,27.940001,27.940001,27.5,27.5,16.855593,1100
2013-08-08,27.73,28.0,27.299999,27.299999,16.733009,1800
2013-08-09,27.25,27.99,27.25,27.35,16.763653,2500
2013-08-12,27.709999,27.709999,27.65,27.690001,16.972054,900
2013-08-13,28.0,28.059999,27.719999,27.85,17.070122,900
2013-08-14,27.85,28.440001,27.76,27.780001,17.027212,1700
2013-08-15,28.200001,28.379999,27.559999,28.33,17.364328,2500
2013-08-16,28.26,28.26,27.51,27.82,17.051733,2400
2013-08-19,28.07,28.07,27.459999,27.459999,16.831079,800
2013-08-20,27.389999,28.0,27.25,28.0,17.162062,4200
2013-08-21,27.93,27.93,27.26,27.85,17.070122,3600
2013-08-22,27.969999,27.98,27.709999,27.950001,17.131413,1400
2013-08-23,27.940001,27.969999,27.33,27.700001,16.978176,1600
2013-08-26,27.700001,27.799999,27.459999,27.459999,16.831079,600
2013-08-27,27.4,27.43,26.299999,27.0,16.549128,2700
2013-08-28,26.940001,27.4,26.67,26.950001,16.518488,5500
2013-08-29,26.889999,26.91,26.799999,26.799999,16.426544,700
2013-08-30,26.74,27.209999,26.450001,27.209999,16.677845,2600
2013-09-03,27.209999,27.209999,26.530001,26.530001,16.261055,500
2013-09-04,26.5,26.5,25.030001,25.51,15.635863,8300
2013-09-05,25.799999,25.91,25.559999,25.75,15.782965,2100
2013-09-06,25.950001,25.950001,25.5,25.620001,15.703287,2600
2013-09-09,25.549999,26.01,25.549999,25.610001,15.697158,2400
2013-09-10,25.25,25.33,25.25,25.32,15.519408,1800
2013-09-11,25.75,25.75,25.59,25.59,15.684897,200
2013-09-12,25.9,26.190001,25.6,25.700001,15.752316,2400
2013-09-13,25.700001,25.700001,25.4,25.459999,15.605216,2200
