Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,3.1,3.1,3.1,3.1,2.621152,0
2013-07-17,3.1,3.1,3.1,3.1,2.621152,0
2013-07-18,3.1,3.1,3.1,3.1,2.621152,0
2013-07-19,3.35,3.35,3.35,3.35,2.832535,50000
2013-07-22,3.35,3.35,3.35,3.35,2.832535,0
2013-07-23,3.27,3.27,3.27,3.27,2.764893,3300
2013-07-24,3.27,3.27,3.27,3.27,2.764893,0
2013-07-25,3.27,3.27,3.27,3.27,2.764893,0
2013-07-26,3.27,3.27,3.27,3.27,2.764893,0
2013-07-29,3.27,3.27,3.27,3.27,2.764893,0
2013-07-30,3.27,3.27,3.27,3.27,2.764893,0
2013-07-31,3.19,3.2,3.05,3.2,2.705706,11600
2013-08-01,3.21,3.21,3.21,3.21,2.71416,2000
2013-08-02,3.14,3.14,3.14,3.14,2.654973,600
2013-08-05,3.14,3.14,3.14,3.14,2.654973,0
2013-08-06,3.14,3.14,3.14,3.14,2.654973,0
2013-08-07,3.14,3.14,3.14,3.14,2.654973,0
2013-08-08,3.14,3.14,3.14,3.14,2.654973,0
2013-08-09,3.14,3.14,3.14,3.14,2.654973,0
2013-08-12,3.14,3.14,3.14,3.14,2.654973,0
2013-08-13,3.14,3.14,3.14,3.14,2.654973,0
2013-08-14,3.13,3.13,3.13,3.13,2.646518,100
2013-08-15,3.13,3.13,3.13,3.13,2.646518,0
2013-08-16,3.13,3.13,3.13,3.13,2.646518,0
2013-08-19,3.13,3.13,3.13,3.13,2.646518,0
2013-08-20,2.62,2.62,2.62,2.62,2.215296,15000
2013-08-21,2.75,2.75,2.75,2.75,2.325215,600
2013-08-22,2.67,2.67,2.67,2.67,2.257573,2000
2013-08-23,2.7,2.7,2.57,2.57,2.17302,2500
2013-08-26,2.59,2.59,2.59,2.59,2.18993,12000
2013-08-27,2.45,2.5,2.41,2.41,2.037735,3900
2013-08-28,2.4,2.4,2.4,2.4,2.029279,32300
2013-08-29,2.49,2.49,2.49,2.49,2.105377,100
2013-08-30,2.64,2.64,2.64,2.64,2.232207,100
2013-09-03,2.64,2.64,2.64,2.64,2.232207,0
2013-09-04,2.49,2.49,2.49,2.49,2.105377,0
2013-09-05,2.49,2.49,2.49,2.49,2.105377,0
2013-09-06,2.64,2.64,2.64,2.64,2.232207,0
2013-09-09,2.64,2.64,2.64,2.64,2.232207,0
2013-09-10,2.86,2.99,2.86,2.99,2.528143,200
2013-09-11,2.99,2.99,2.99,2.99,2.528143,0
2013-09-12,2.99,2.99,2.99,2.99,2.528143,0
2013-09-13,2.99,2.99,2.99,2.99,2.528143,0
2013-09-16,2.99,2.99,2.99,2.99,2.528143,0
2013-09-17,2.99,2.99,2.99,2.99,2.528143,0
2013-09-18,2.99,2.99,2.99,2.99,2.528143,0
2013-09-19,2.86,2.86,2.86,2.86,2.418224,6000
2013-09-20,2.86,2.86,2.86,2.86,2.418224,0
2013-09-23,2.86,2.86,2.86,2.86,2.418224,0
2013-09-24,2.81,2.81,2.81,2.81,2.375948,100
2013-09-25,2.81,2.81,2.81,2.81,2.375948,0
2013-09-26,2.75,2.75,2.75,2.75,2.325215,500
2013-09-27,2.68,2.68,2.63,2.63,2.223752,36400
2013-09-30,2.63,2.63,2.63,2.63,2.223752,0
2013-10-01,2.63,2.63,2.63,2.63,2.223752,0
2013-10-02,2.63,2.63,2.63,2.63,2.223752,0
2013-10-03,2.63,2.63,2.63,2.63,2.223752,0
2013-10-04,2.63,2.63,2.63,2.63,2.223752,0
2013-10-07,2.63,2.63,2.63,2.63,2.223752,0
2013-10-08,2.63,2.63,2.63,2.63,2.223752,0
2013-10-09,2.69,2.69,2.69,2.69,2.274484,100
2013-10-10,2.687,2.687,2.687,2.687,2.271947,800
2013-10-11,2.687,2.687,2.687,2.687,2.271947,0
2013-10-14,2.687,2.687,2.687,2.687,2.271947,0
2013-10-15,2.687,2.687,2.687,2.687,2.271947,0
2013-10-16,2.687,2.687,2.687,2.687,2.271947,0
2013-10-17,2.687,2.687,2.687,2.687,2.271947,0
2013-10-18,2.687,2.687,2.687,2.687,2.271947,0
2013-10-21,2.687,2.687,2.687,2.687,2.271947,0
2013-10-22,2.687,2.687,2.687,2.687,2.271947,0
2013-10-23,2.687,2.687,2.687,2.687,2.271947,0
2013-10-24,2.687,2.687,2.687,2.687,2.271947,0
2013-10-25,2.687,2.687,2.687,2.687,2.271947,0
2013-10-28,2.687,2.687,2.687,2.687,2.271947,0
2013-10-29,2.93,2.93,2.93,2.93,2.477411,7300
2013-10-30,2.93,2.93,2.93,2.93,2.477411,0
2013-10-31,2.68,2.68,2.68,2.68,2.266028,100
2013-11-01,2.68,2.68,2.68,2.68,2.266028,0
2013-11-04,2.68,2.68,2.68,2.68,2.266028,0
2013-11-05,2.68,2.68,2.68,2.68,2.266028,0
2013-11-06,2.68,2.68,2.68,2.68,2.266028,0
2013-11-07,2.68,2.68,2.68,2.68,2.266028,0
2013-11-08,2.68,2.68,2.68,2.68,2.266028,0
2013-11-11,2.67,2.67,2.67,2.67,2.257573,1000
2013-11-12,2.67,2.67,2.67,2.67,2.257573,0
2013-11-13,2.67,2.67,2.67,2.67,2.257573,0
2013-11-14,2.67,2.67,2.67,2.67,2.257573,0
2013-11-15,2.67,2.67,2.67,2.67,2.257573,0
2013-11-18,2.67,2.67,2.67,2.67,2.257573,0
2013-11-19,2.67,2.67,2.67,2.67,2.257573,0
2013-11-20,2.67,2.67,2.67,2.67,2.257573,0
2013-11-21,2.67,2.67,2.67,2.67,2.257573,0
2013-11-22,2.37,2.37,2.37,2.37,2.003913,100
2013-11-25,2.37,2.37,2.37,2.37,2.003913,0
2013-11-26,2.37,2.37,2.37,2.37,2.003913,0
2013-11-27,2.37,2.37,2.37,2.37,2.003913,0
2013-11-29,2.37,2.37,2.37,2.37,2.003913,0
2013-12-02,2.38,2.38,2.38,2.38,2.012368,400
2013-12-03,2.31,2.31,2.26,2.26,1.933653,300
2013-12-04,2.12,2.17,2.12,2.17,1.85665,4100
2013-12-05,2.17,2.17,2.17,2.17,1.85665,0
2013-12-06,2.17,2.17,2.17,2.17,1.85665,0
2013-12-09,2.17,2.17,2.17,2.17,1.85665,0
2013-12-10,2.34,2.34,2.34,2.34,2.002101,7500
2013-12-11,2.34,2.34,2.34,2.34,2.002101,0
2013-12-12,2.34,2.34,2.34,2.34,2.002101,0
2013-12-13,2.24,2.24,2.24,2.24,1.916541,1000
2013-12-16,2.24,2.24,2.24,2.24,1.916541,0
2013-12-17,2.24,2.24,2.24,2.24,1.916541,0
2013-12-18,2.23,2.23,2.152,2.152,1.841248,2000
2013-12-19,2.22,2.22,2.22,2.22,1.899429,100
2013-12-20,2.126,2.14,2.126,2.14,1.830982,17000
2013-12-23,2.12,2.12,2.12,2.12,1.813869,700
2013-12-24,2.12,2.12,2.12,2.12,1.813869,0
2013-12-26,2.12,2.12,2.12,2.12,1.813869,0
2013-12-27,2.12,2.12,2.12,2.12,1.813869,0
2013-12-30,2.12,2.12,2.12,2.12,1.813869,0
2013-12-31,2.12,2.12,2.12,2.12,1.813869,0
2014-01-02,2.12,2.12,2.12,2.12,1.813869,0
2014-01-03,2.12,2.12,2.12,2.12,1.813869,0
2014-01-06,2.16,2.16,2.16,2.16,1.848094,3300
2014-01-07,2.16,2.16,2.16,2.16,1.848094,0
2014-01-08,2.16,2.16,2.16,2.16,1.848094,0
2014-01-09,2.16,2.16,2.16,2.16,1.848094,0
2014-01-10,2.16,2.16,2.16,2.16,1.848094,200
2014-01-13,2.16,2.16,2.16,2.16,1.848094,0
2014-01-14,2.16,2.16,2.16,2.16,1.848094,0
2014-01-15,2.3,2.3,2.3,2.3,1.967877,300
2014-01-16,2.303,2.303,2.303,2.303,1.970444,500
2014-01-17,2.303,2.303,2.303,2.303,1.970444,0
2014-01-21,2.303,2.303,2.303,2.303,1.970444,0
2014-01-22,2.303,2.303,2.303,2.303,1.970444,0
2014-01-23,2.42,2.42,2.28,2.28,1.950765,2100
2014-01-24,2.28,2.28,2.28,2.28,1.950765,0
2014-01-27,2.28,2.28,2.28,2.28,1.950765,0
2014-01-28,2.28,2.28,2.28,2.28,1.950765,0
2014-01-29,2.28,2.28,2.28,2.28,1.950765,0
2014-01-30,2.28,2.28,2.28,2.28,1.950765,0
2014-01-31,2.28,2.28,2.28,2.28,1.950765,0
2014-02-03,2.28,2.28,2.28,2.28,1.950765,0
2014-02-04,2.28,2.28,2.28,2.28,1.950765,0
2014-02-05,2.28,2.28,2.28,2.28,1.950765,0
2014-02-06,2.28,2.28,2.28,2.28,1.950765,0
2014-02-07,2.28,2.28,2.28,2.28,1.950765,0
2014-02-10,2.28,2.28,2.28,2.28,1.950765,0
2014-02-11,2.28,2.28,2.28,2.28,1.950765,0
2014-02-12,2.28,2.28,2.28,2.28,1.950765,0
2014-02-13,2.28,2.28,2.28,2.28,1.950765,0
