Date,Open,High,Low,Close,Adj Close,Volume
2017-09-06,0.8,1.11,0.8,1.11,1.11,2500
2017-09-07,1.3,1.3,1.3,1.3,1.3,500
2017-09-08,1.3,1.3,1.3,1.3,1.3,0
2017-09-11,1.3,1.3,1.3,1.3,1.3,0
2017-09-12,1.3,1.3,1.3,1.3,1.3,0
2017-09-13,1.3,1.3,1.3,1.3,1.3,0
2017-09-14,1.3,1.3,1.3,1.3,1.3,0
2017-09-15,1.3,1.3,1.3,1.3,1.3,0
2017-09-18,1.3,1.3,1.3,1.3,1.3,0
2017-09-19,1.3,1.3,1.3,1.3,1.3,0
2017-09-20,1.3,1.3,1.3,1.3,1.3,0
2017-09-21,1.3,1.3,1.3,1.3,1.3,0
2017-09-22,1.4,1.5,1.4,1.5,1.5,900
2017-09-25,1.5,1.5,1.5,1.5,1.5,0
2017-09-26,1.5,1.5,1.5,1.5,1.5,0
2017-09-27,1.5,1.5,1.5,1.5,1.5,0
2017-09-28,1.4,1.4,1.25,1.25,1.25,500
2017-09-29,1.25,1.25,1.25,1.25,1.25,0
2017-10-02,1.25,1.25,1.25,1.25,1.25,0
2017-10-03,1.25,1.25,1.25,1.25,1.25,0
2017-10-04,1.25,1.25,1.25,1.25,1.25,0
2017-10-05,1.25,1.25,1.25,1.25,1.25,0
2017-10-06,1.28,1.28,1.28,1.28,1.28,500
2017-10-09,1.28,1.28,1.28,1.28,1.28,0
2017-10-10,1.28,1.28,1.28,1.28,1.28,0
2017-10-11,1.28,1.32,1.28,1.32,1.32,1000
2017-10-12,1.32,1.32,1.32,1.32,1.32,0
2017-10-13,1.32,1.32,1.32,1.32,1.32,0
2017-10-16,1.32,1.32,1.32,1.32,1.32,0
2017-10-17,1.5,1.5,1.5,1.5,1.5,200
2017-10-18,1.5,1.5,1.5,1.5,1.5,0
2017-10-19,1.5,1.5,1.5,1.5,1.5,0
2017-10-20,1.5,1.5,1.5,1.5,1.5,0
2017-10-23,1.5,1.5,1.5,1.5,1.5,0
2017-10-24,1.5,1.5,1.5,1.5,1.5,0
2017-10-25,1.5,1.5,1.5,1.5,1.5,0
2017-10-26,1.55,1.7,1.55,1.55,1.55,500
2017-10-27,1.7,1.7,1.7,1.7,1.7,100
2017-10-30,1.7,1.7,1.7,1.7,1.7,0
2017-10-31,1.9,1.9,1.9,1.9,1.9,100
2017-11-01,1.9,1.9,1.9,1.9,1.9,0
2017-11-02,1.9,1.9,1.9,1.9,1.9,0
2017-11-03,1.9,1.9,1.9,1.9,1.9,0
2017-11-06,1.9,1.9,1.9,1.9,1.9,0
2017-11-07,1.9,1.9,1.9,1.9,1.9,0
2017-11-08,1.9,1.9,1.9,1.9,1.9,0
2017-11-09,1.9,1.9,1.9,1.9,1.9,0
2017-11-10,1.9,1.9,1.9,1.9,1.9,0
2017-11-13,1.9,1.9,1.9,1.9,1.9,0
2017-11-14,2.0,2.2,2.0,2.2,2.2,300
2017-11-15,2.2,2.2,2.2,2.2,2.2,0
2017-11-16,2.2,2.2,2.2,2.2,2.2,0
2017-11-17,2.2,2.2,2.2,2.2,2.2,0
2017-11-20,2.2,2.2,2.2,2.2,2.2,0
2017-11-21,2.2,2.2,2.2,2.2,2.2,0
2017-11-22,2.2,2.2,2.2,2.2,2.2,0
2017-11-24,2.2,2.2,2.2,2.2,2.2,0
2017-11-27,2.2,2.2,2.2,2.2,2.2,0
2017-11-28,2.2,2.2,2.2,2.2,2.2,0
2017-11-29,2.2,2.2,2.2,2.2,2.2,0
2017-11-30,2.2,2.2,2.2,2.2,2.2,0
2017-12-01,2.2,2.2,2.2,2.2,2.2,0
2017-12-04,2.2,2.2,2.2,2.2,2.2,0
2017-12-05,2.2,2.2,2.2,2.2,2.2,0
2017-12-06,2.2,2.2,2.2,2.2,2.2,0
2017-12-07,2.2,2.2,2.2,2.2,2.2,0
2017-12-08,2.2,2.2,2.2,2.2,2.2,0
2017-12-11,2.2,2.2,2.2,2.2,2.2,0
2017-12-12,2.2,2.2,2.2,2.2,2.2,0
2017-12-13,2.4,2.4,2.4,2.4,2.4,200
2017-12-14,2.6,2.6,2.6,2.6,2.6,200
2017-12-15,2.6,2.6,2.6,2.6,2.6,0
2017-12-18,2.6,2.6,2.6,2.6,2.6,0
2017-12-19,2.6,2.6,2.6,2.6,2.6,0
2017-12-20,2.6,2.6,2.6,2.6,2.6,0
2017-12-21,2.7,2.7,2.7,2.7,2.7,200
2017-12-22,2.7,2.7,2.7,2.7,2.7,0
2017-12-26,2.7,2.7,2.7,2.7,2.7,0
2017-12-27,2.86,2.86,2.86,2.86,2.86,200
2017-12-28,2.86,2.86,2.86,2.86,2.86,0
2017-12-29,2.86,2.86,2.86,2.86,2.86,0
2018-01-02,2.86,2.86,2.86,2.86,2.86,0
2018-01-03,2.86,2.86,2.86,2.86,2.86,0
2018-01-04,2.86,2.86,2.86,2.86,2.86,0
2018-01-05,2.86,2.86,2.86,2.86,2.86,0
2018-01-08,2.86,2.86,2.86,2.86,2.86,0
2018-01-09,2.86,2.86,2.86,2.86,2.86,0
2018-01-10,2.86,2.86,2.86,2.86,2.86,0
2018-01-11,2.86,2.86,2.86,2.86,2.86,0
2018-01-12,2.86,2.86,2.86,2.86,2.86,0
2018-01-16,2.86,2.86,2.86,2.86,2.86,0
2018-01-17,2.86,2.86,2.86,2.86,2.86,0
2018-01-18,2.86,2.86,2.86,2.86,2.86,0
2018-01-19,2.86,2.86,2.86,2.86,2.86,0
2018-01-22,2.86,2.86,2.86,2.86,2.86,0
2018-01-23,2.86,2.86,2.86,2.86,2.86,0
2018-01-24,2.86,2.86,2.86,2.86,2.86,0
2018-01-25,2.86,2.86,2.86,2.86,2.86,0
2018-01-26,2.86,2.86,2.86,2.86,2.86,0
2018-01-29,2.86,2.86,2.86,2.86,2.86,0
2018-01-30,2.86,2.86,2.86,2.86,2.86,0
2018-01-31,2.8,2.8,2.8,2.8,2.8,300
2018-02-01,2.9,2.9,2.9,2.9,2.9,300
2018-02-02,2.9,2.9,2.9,2.9,2.9,0
