Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.367,0.367,0.367,0.367,0.367,0
2021-01-11,0.385,0.385,0.385,0.385,0.385,100
2021-01-12,0.44,0.491,0.431,0.485,0.485,22400
2021-01-13,0.557,0.615,0.526,0.615,0.615,285700
2021-01-14,0.607,0.62,0.554,0.576,0.576,96700
2021-01-15,0.597,0.602,0.574,0.578,0.578,71400
2021-01-19,0.629,0.707,0.62,0.707,0.707,76100
2021-01-20,0.73,0.815,0.717,0.728,0.728,116800
2021-01-21,0.753,0.753,0.669,0.673,0.673,60400
2021-01-22,0.685,0.685,0.637,0.655,0.655,47100
2021-01-25,0.625,0.625,0.563,0.58,0.58,91700
2021-01-26,0.6,0.6,0.528,0.57,0.57,40400
2021-01-27,0.586,0.586,0.45,0.466,0.466,38800
2021-01-28,0.496,0.502,0.467,0.492,0.492,21800
2021-01-29,0.5,0.55,0.5,0.516,0.516,42600
2021-02-01,0.526,0.546,0.514,0.514,0.514,11100
2021-02-02,0.546,0.548,0.51,0.513,0.513,83600
2021-02-03,0.52,0.52,0.485,0.49,0.49,30900
2021-02-04,0.53,0.53,0.475,0.484,0.484,10200
2021-02-05,0.49,0.493,0.48,0.491,0.491,36100
2021-02-08,0.499,0.52,0.484,0.484,0.484,52800
2021-02-09,0.494,0.506,0.474,0.476,0.476,73500
2021-02-10,0.478,0.478,0.422,0.422,0.422,54400
2021-02-11,0.442,0.458,0.425,0.425,0.425,13300
2021-02-12,0.439,0.457,0.413,0.457,0.457,69400
2021-02-16,0.473,0.502,0.462,0.465,0.465,39300
2021-02-17,0.476,0.476,0.433,0.441,0.441,61400
2021-02-18,0.43,0.43,0.349,0.386,0.386,284900
2021-02-19,0.355,0.39,0.348,0.376,0.376,64700
2021-02-22,0.37,0.461,0.367,0.453,0.453,88100
2021-02-23,0.465,0.465,0.387,0.415,0.415,45800
2021-02-24,0.423,0.423,0.398,0.4,0.4,54800
2021-02-25,0.375,0.401,0.375,0.397,0.397,35000
2021-02-26,0.385,0.401,0.38,0.386,0.386,35000
2021-03-01,0.4,0.42,0.39,0.414,0.414,365400
2021-03-02,0.461,0.469,0.44,0.459,0.459,242000
2021-03-03,0.48,0.48,0.417,0.43,0.43,243600
2021-03-04,0.432,0.44,0.385,0.398,0.398,214200
2021-03-05,0.42,0.42,0.37,0.388,0.388,245400
2021-03-08,0.4,0.42,0.39,0.395,0.395,194000
2021-03-09,0.432,0.432,0.384,0.392,0.392,256400
2021-03-10,0.409,0.409,0.388,0.4,0.4,76800
2021-03-11,0.431,0.431,0.39,0.399,0.399,67500
2021-03-12,0.425,0.425,0.395,0.399,0.399,241400
2021-03-15,0.435,0.435,0.38,0.392,0.392,135000
2021-03-16,0.39,0.398,0.374,0.377,0.377,146500
2021-03-17,0.412,0.414,0.347,0.365,0.365,170000
2021-03-18,0.39,0.399,0.366,0.367,0.367,249800
2021-03-19,0.344,0.391,0.34,0.352,0.352,199900
2021-03-22,0.34,0.35,0.322,0.334,0.334,231200
2021-03-23,0.332,0.343,0.31,0.33,0.33,114800
2021-03-24,0.331,0.334,0.278,0.283,0.283,186800
2021-03-25,0.266,0.278,0.239,0.252,0.252,155400
2021-03-26,0.271,0.281,0.258,0.26,0.26,38300
2021-03-29,0.273,0.282,0.267,0.267,0.267,53000
2021-03-30,0.28,0.294,0.26,0.285,0.285,131000
2021-03-31,0.301,0.301,0.26,0.27,0.27,263700
2021-04-01,0.259,0.28,0.259,0.262,0.262,43300
2021-04-05,0.281,0.281,0.234,0.234,0.234,199200
2021-04-06,0.229,0.255,0.215,0.228,0.228,140800
2021-04-07,0.218,0.223,0.205,0.212,0.212,81300
2021-04-08,0.214,0.228,0.208,0.228,0.228,63400
2021-04-09,0.228,0.228,0.206,0.218,0.218,61500
2021-04-12,0.22,0.227,0.198,0.198,0.198,197700
2021-04-13,0.201,0.201,0.167,0.183,0.183,157400
2021-04-14,0.183,0.193,0.16,0.16,0.16,148900
2021-04-15,0.17,0.173,0.158,0.158,0.158,58600
2021-04-16,0.154,0.164,0.147,0.157,0.157,87000
2021-04-19,0.151,0.168,0.147,0.157,0.157,34900
2021-04-20,0.163,0.163,0.147,0.147,0.147,46500
2021-04-21,0.164,0.164,0.146,0.147,0.147,45800
2021-04-22,0.131,0.158,0.131,0.154,0.154,18600
2021-04-23,0.153,0.181,0.153,0.177,0.177,33600
