Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31,1.123,1.123,1.123,1.123,1.123,2400
2020-08-03,1.15,1.16,1.15,1.16,1.16,6200
2020-08-04,1.17,1.2,1.133,1.133,1.133,28000
2020-08-05,1.16,1.173,1.139,1.16,1.16,20300
2020-08-06,1.14,1.5,1.134,1.5,1.5,30400
2020-08-07,1.199,1.51,1.14,1.14,1.14,30500
2020-08-10,1.185,1.4,1.176,1.21,1.21,19300
2020-08-11,1.209,1.22,1.165,1.188,1.188,31900
2020-08-12,1.256,1.256,1.208,1.21,1.21,13900
2020-08-13,1.229,1.236,1.183,1.188,1.188,15800
2020-08-14,1.17,1.19,1.155,1.155,1.155,13700
2020-08-17,1.5,1.5,1.152,1.152,1.152,11600
2020-08-18,1.183,1.19,1.15,1.19,1.19,5000
2020-08-19,1.172,1.172,1.083,1.14,1.14,12300
2020-08-20,1.088,1.09,0.892,1.01,1.01,27900
2020-08-21,1.006,1.038,0.969,1.016,1.016,10000
2020-08-24,1.021,1.035,0.947,0.952,0.952,20600
2020-08-25,0.951,1.03,0.951,0.958,0.958,44000
2020-08-26,1.017,1.25,1.01,1.117,1.117,204400
2020-08-27,1.12,1.5,0.565,1.063,1.063,69500
2020-08-28,1.062,1.098,1.034,1.098,1.098,26900
2020-08-31,1.126,1.194,1.12,1.175,1.175,43700
2020-09-01,1.222,1.24,1.16,1.2,1.2,62500
2020-09-02,1.21,1.25,1.093,1.178,1.178,135800
2020-09-03,1.198,1.198,1.15,1.181,1.181,51900
2020-09-04,1.214,1.257,1.189,1.256,1.256,56000
2020-09-08,1.312,1.35,1.282,1.327,1.327,106500
2020-09-09,1.316,1.44,1.288,1.386,1.386,56300
2020-09-10,1.395,1.5,1.311,1.35,1.35,136300
2020-09-11,1.32,1.42,1.296,1.354,1.354,84200
2020-09-14,1.341,1.352,1.298,1.3,1.3,46600
2020-09-15,1.3,1.3,1.22,1.236,1.236,81200
2020-09-16,1.235,1.338,1.22,1.277,1.277,129700
2020-09-17,1.26,1.295,1.24,1.291,1.291,43600
2020-09-18,1.24,1.313,1.24,1.261,1.261,18700
2020-09-21,1.254,1.27,1.15,1.222,1.222,25000
2020-09-22,1.03,1.22,1.03,1.19,1.19,104800
2020-09-23,1.19,1.22,1.138,1.14,1.14,40200
2020-09-24,1.18,1.18,1.07,1.11,1.11,43700
2020-09-25,1.116,1.15,1.06,1.14,1.14,22400
2020-09-28,1.15,1.36,1.108,1.129,1.129,46500
2020-09-29,1.05,1.37,1.05,1.134,1.134,21700
2020-09-30,1.41,1.41,1.129,1.14,1.14,17700
