Date,Open,High,Low,Close,Adj Close,Volume
2021-08-13,1.0,1.0,1.0,1.0,1.0,500
2021-08-16,0.9025,0.9025,0.9024,0.9025,0.9025,1300
2021-08-17,0.9025,0.9025,0.9025,0.9025,0.9025,0
2021-08-18,0.9025,0.9025,0.9025,0.9025,0.9025,0
2021-08-19,0.9025,0.9025,0.9025,0.9025,0.9025,0
2021-08-20,0.9025,0.9025,0.9025,0.9025,0.9025,0
2021-08-23,0.9025,0.9025,0.9025,0.9025,0.9025,0
2021-08-24,0.9025,0.9025,0.9025,0.9025,0.9025,0
2021-08-25,0.9025,0.9025,0.9025,0.9025,0.9025,0
2021-08-26,0.9025,0.9025,0.9025,0.9025,0.9025,0
2021-08-27,0.7241,0.7241,0.7241,0.7241,0.7241,100
2021-08-30,0.7241,0.7241,0.7241,0.7241,0.7241,0
2021-08-31,0.7241,0.7241,0.7241,0.7241,0.7241,0
2021-09-01,0.7534,0.7534,0.7376,0.7376,0.7376,1300
2021-09-02,0.7376,0.7376,0.7376,0.7376,0.7376,0
2021-09-03,0.7376,0.7376,0.7376,0.7376,0.7376,0
2021-09-07,0.7376,0.7376,0.7376,0.7376,0.7376,0
2021-09-08,0.8604,0.8605,0.8604,0.8605,0.8605,2000
2021-09-09,0.9097,0.9097,0.9097,0.9097,0.9097,1092
2021-09-10,0.9097,0.9097,0.9097,0.9097,0.9097,0
2021-09-13,0.9097,0.9097,0.9097,0.9097,0.9097,0
2021-09-14,0.9139,0.9141,0.9139,0.9141,0.9141,1059
2021-09-15,0.9141,0.9141,0.9141,0.9141,0.9141,0
2021-09-16,0.9141,0.9141,0.9141,0.9141,0.9141,0
2021-09-17,0.9141,0.9141,0.9141,0.9141,0.9141,0
2021-09-20,1.03,1.03,0.95,0.9901,0.9901,20174
2021-09-21,1.01,1.01,0.9,0.95,0.95,38341
2021-09-22,0.9468,0.9468,0.90667,0.93,0.93,18437
2021-09-23,1.0,1.0,0.93,0.96,0.96,13970
2021-09-24,0.96,0.97,0.9589,0.965,0.965,5701
2021-09-27,1.0,1.75,1.0,1.185,1.185,498434
2021-09-28,1.44,1.45,1.1854,1.25,1.25,822103
2021-09-29,1.28,1.48,1.15,1.19,1.19,466760
2021-09-30,1.25,1.28,1.16,1.16,1.16,267113
2021-10-01,1.202,1.26,1.05,1.115,1.115,105741
2021-10-04,1.135,1.135,0.97,1.0725,1.0725,233034
2021-10-05,1.11212,1.12,1.05,1.09,1.09,84817
2021-10-06,1.13,1.13,1.04,1.066,1.066,83155
2021-10-07,1.04,1.15,1.04,1.04,1.04,38657
2021-10-08,1.04745,1.1,0.97,1.01,1.01,46759
2021-10-11,1.0,1.1,0.96,1.0415,1.0415,55550
2021-10-12,1.115,1.115,0.96,1.0101,1.0101,48865
2021-10-13,0.97436,1.01,0.96,0.992,0.992,17518
2021-10-14,0.9962,0.9962,0.96,0.9861,0.9861,43529
2021-10-15,0.92,1.02,0.92,0.98,0.98,45836
2021-10-18,0.98,1.02,0.9649,0.9897,0.9897,28108
2021-10-19,1.0,1.01,0.9619,0.98608,0.98608,37909
2021-10-20,0.97,0.97781,0.9307,0.9457,0.9457,19387
2021-10-21,0.756,0.96746,0.756,0.91,0.91,17977
2021-10-22,0.92,0.92,0.8531,0.8777,0.8777,43508
2021-10-25,0.6525,0.89091,0.6525,0.846,0.846,38762
2021-10-26,0.8606,0.9606,0.75,0.91889,0.91889,28000
2021-10-27,0.92678,1.0335,0.91,0.9781,0.9781,56247
2021-10-28,1.08,1.0995,0.9914,1.09,1.09,24682
2021-10-29,1.15,1.15,1.04,1.06,1.06,41302
2021-11-01,1.0833,1.0833,1.03,1.046,1.046,8385
2021-11-02,1.0306,1.04,0.98905,0.9915,0.9915,17917
2021-11-03,0.85,0.9745,0.85,0.97,0.97,16518
2021-11-04,1.0,1.0,0.9,0.92,0.92,31549
2021-11-05,0.92,0.99,0.92,0.937,0.937,6750
2021-11-08,0.9294,0.95,0.87,0.8847,0.8847,31358
2021-11-09,0.7808,0.8847,0.7808,0.86646,0.86646,16816
2021-11-10,0.85,0.889,0.8043,0.8043,0.8043,28244
2021-11-11,0.8048,0.86076,0.8048,0.8506,0.8506,11170
2021-11-12,0.8506,0.8634,0.8,0.8332,0.8332,23032
2021-11-15,0.8,0.84745,0.8,0.8163,0.8163,66078
2021-11-16,0.8163,0.8401,0.78,0.8393,0.8393,5439
2021-11-17,0.8363,0.8406,0.7801,0.8406,0.8406,27754
2021-11-18,0.9061,0.966,0.9061,0.9519,0.9519,15384
2021-11-19,0.95,0.95,0.9059,0.9445,0.9445,2439
2021-11-22,0.9354,0.96652,0.9,0.9408,0.9408,7901
2021-11-23,0.9236,0.924,0.8619,0.8927,0.8927,5478
2021-11-24,0.87502,0.88095,0.8532,0.88095,0.88095,9333
2021-11-26,0.8405,0.85995,0.8293,0.8348,0.8348,11750
2021-11-29,0.81,0.8656,0.81,0.8346,0.8346,4563
2021-11-30,0.85145,0.85145,0.78,0.7945,0.7945,14429
2021-12-01,0.8,0.8601,0.78,0.78,0.78,14351
2021-12-02,0.75,0.8386,0.75,0.79,0.79,21055
2021-12-03,0.8,0.8,0.78616,0.78616,0.78616,4022
2021-12-06,1.07,1.07,0.7394,0.78,0.78,4398
2021-12-07,0.83466,0.83466,0.7941,0.8062,0.8062,9129
2021-12-08,0.8294,0.8294,0.7953,0.8062,0.8062,1372
2021-12-09,0.8058,0.808,0.7871,0.8,0.8,4284
2021-12-10,0.78269,0.786,0.7684,0.7684,0.7684,5404
2021-12-13,0.79,0.79,0.7538,0.75559,0.75559,2629
2021-12-14,0.7402,0.77,0.7402,0.74724,0.74724,8487
2021-12-15,0.7248,0.7294,0.6942,0.7148,0.7148,11134
2021-12-16,0.7205,0.7249,0.7205,0.7235,0.7235,9889
2021-12-17,0.72,0.7628,0.72,0.7628,0.7628,2371
2021-12-20,0.67,0.7578,0.67,0.73686,0.73686,8164
2021-12-21,0.7388,0.8221,0.7235,0.7756,0.7756,25240
2021-12-22,0.7891,0.8199,0.7733,0.80381,0.80381,4524
2021-12-23,0.77318,0.794,0.77318,0.78872,0.78872,3083
2021-12-27,0.6788,0.8199,0.55079,0.7598,0.7598,15386
2021-12-28,0.77368,0.77368,0.7484,0.7484,0.7484,1126
2021-12-29,0.75977,0.77,0.75,0.75343,0.75343,8064
2021-12-30,0.7141,0.7832,0.70236,0.7221,0.7221,17475
2021-12-31,0.6832,0.70716,0.63,0.63,0.63,139983
2022-01-03,0.6,0.63625,0.58,0.63625,0.63625,2260
2022-01-04,0.6661,0.6867,0.666,0.6867,0.6867,7076
2022-01-05,0.6843,0.69,0.68,0.68,0.68,1627
2022-01-06,0.6679,0.7,0.6679,0.68083,0.68083,4070
2022-01-07,0.67765,0.67765,0.67765,0.67765,0.67765,420
2022-01-10,0.6508,0.6746,0.6,0.635,0.635,4476
2022-01-11,0.63839,0.6425,0.5666,0.56925,0.56925,8021
2022-01-12,0.57,0.6002,0.54,0.5675,0.5675,13173
2022-01-13,0.5805,0.606,0.5482,0.5507,0.5507,19329
2022-01-14,0.5633,0.5633,0.5298,0.5298,0.5298,12810
2022-01-18,0.3407,0.52,0.3407,0.45971,0.45971,12193
2022-01-19,0.45,0.51553,0.3931,0.4915,0.4915,36337
2022-01-20,0.5086,0.564,0.5086,0.53,0.53,5245
2022-01-21,0.5552,0.56498,0.4982,0.50744,0.50744,6066
2022-01-24,0.4786,0.5306,0.3066,0.46,0.46,26853
2022-01-25,0.5306,0.5306,0.4498,0.4778,0.4778,14374
2022-01-26,0.4563,0.498,0.4388,0.45,0.45,5187
2022-01-27,0.4667,0.4667,0.3977,0.3977,0.3977,1782
2022-01-28,0.4,0.41,0.4,0.41,0.41,8523
2022-01-31,0.4037,0.4361,0.388,0.3963,0.3963,9538
2022-02-01,0.3963,0.3963,0.3963,0.3963,0.3963,0
2022-02-02,0.3593,0.3593,0.3593,0.3593,0.3593,306
2022-02-03,0.3745,0.3745,0.3583,0.3707,0.3707,2376
2022-02-04,0.3338,0.3646,0.3338,0.36,0.36,8855
2022-02-07,0.37527,0.428,0.36,0.4,0.4,4820
2022-02-08,0.3974,0.3974,0.38,0.38,0.38,7809
2022-02-09,0.39773,0.4575,0.39773,0.4575,0.4575,17480
2022-02-10,0.50283,0.5235,0.5022,0.5235,0.5235,7509
2022-02-11,0.3933,0.5316,0.3933,0.5,0.5,7417
2022-02-14,0.6335,0.8,0.55,0.8,0.8,263321
2022-02-15,0.8064,0.9374,0.7505,0.782,0.782,96525
2022-02-16,0.7845,0.8232,0.77265,0.79,0.79,26789
2022-02-17,0.79385,0.81,0.7794,0.7918,0.7918,37143
2022-02-18,0.7909,0.7909,0.6899,0.7303,0.7303,34853
2022-02-22,0.71,0.7472,0.6705,0.6705,0.6705,30793
2022-02-23,0.6,0.7106,0.6,0.6865,0.6865,27447
2022-02-24,0.65648,0.7315,0.5876,0.6141,0.6141,16694
2022-02-25,0.6378,0.6378,0.6155,0.6182,0.6182,38983
2022-02-28,0.6317,0.6336,0.5274,0.532,0.532,49964
2022-03-01,0.53315,0.5453,0.53,0.53,0.53,4875
2022-03-02,0.5272,0.5272,0.49426,0.49426,0.49426,5673
2022-03-03,0.50255,0.56908,0.50255,0.56908,0.56908,11189
2022-03-04,0.5683,0.5774,0.53,0.54225,0.54225,15112
2022-03-07,0.4118,0.62395,0.4118,0.5661,0.5661,19727
2022-03-08,0.5613,0.615,0.539,0.5745,0.5745,9373
2022-03-09,0.5673,0.5673,0.5281,0.5541,0.5541,6078
2022-03-10,0.5581,0.5665,0.54246,0.5425,0.5425,9496
2022-03-11,0.55484,0.56406,0.5394,0.55525,0.55525,6978
2022-03-14,0.63,0.63,0.5365,0.538,0.538,15406
2022-03-15,0.54869,0.5762,0.53,0.53,0.53,19780
2022-03-16,0.52,0.53835,0.52,0.53656,0.53656,6253
2022-03-17,0.6605,0.7009,0.46,0.46,0.46,471234
2022-03-18,0.3444,0.4864,0.3444,0.46,0.46,83172
2022-03-21,0.4395,0.52,0.413,0.44055,0.44055,31528
2022-03-22,0.4127,0.45,0.389,0.44125,0.44125,36686
2022-03-23,0.4278,0.5314,0.4278,0.4668,0.4668,43442
2022-03-24,0.4735,0.48273,0.4558,0.46234,0.46234,8386
2022-03-25,0.45995,0.50197,0.45995,0.4809,0.4809,5934
2022-03-28,0.5,0.529,0.46499,0.47836,0.47836,14379
2022-03-29,0.4778,0.5062,0.4685,0.5,0.5,7686
2022-03-30,0.5,0.5519,0.4703,0.49132,0.49132,22436
2022-03-31,0.5226,0.5369,0.4808,0.4917,0.4917,8332
2022-04-01,0.4768,0.49235,0.4617,0.49235,0.49235,26372
2022-04-04,0.48088,0.5374,0.4769,0.53,0.53,9079
2022-04-05,0.44425,0.51281,0.4,0.4924,0.4924,12955
2022-04-06,0.499,0.499,0.499,0.499,0.499,145
2022-04-07,0.49653,0.49653,0.42796,0.46355,0.46355,2540
2022-04-08,0.3512,0.46486,0.3512,0.4647,0.4647,1743
2022-04-11,0.318,0.4711,0.318,0.4711,0.4711,3026
2022-04-12,0.46113,0.46113,0.46,0.46,0.46,1295
2022-04-13,0.297,0.47155,0.297,0.47155,0.47155,15123
2022-04-14,0.444,0.53,0.444,0.47181,0.47181,1684
2022-04-18,0.47815,0.47815,0.3473,0.45177,0.45177,4880
2022-04-19,0.2985,0.4512,0.2985,0.4418,0.4418,7446
2022-04-20,0.53,0.53,0.4418,0.4457,0.4457,4516
2022-04-21,0.3468,0.44985,0.3468,0.4496,0.4496,2192
2022-04-22,0.43607,0.44396,0.40586,0.40586,0.40586,6182
2022-04-25,0.33,0.42024,0.33,0.42024,0.42024,25992
2022-04-26,0.35,0.35,0.33951,0.33951,0.33951,3055
2022-04-27,0.3524,0.3524,0.30854,0.3431,0.3431,13523
2022-04-28,0.33146,0.3754,0.28,0.32,0.32,7520
2022-04-29,0.33,0.339,0.31821,0.33444,0.33444,5070
2022-05-02,0.28942,0.31562,0.2885,0.314,0.314,1685
2022-05-03,0.2936,0.3168,0.2897,0.31524,0.31524,2685
2022-05-04,0.3,0.3,0.29,0.29,0.29,5692
2022-05-05,0.2874,0.2874,0.25482,0.27128,0.27128,11704
2022-05-06,0.29855,0.2995,0.29855,0.299,0.299,1708
2022-05-09,0.3246,0.3246,0.2361,0.2361,0.2361,20300
2022-05-10,0.2584,0.2584,0.23374,0.2406,0.2406,31884
2022-05-11,0.23052,0.24616,0.2302,0.2302,0.2302,7700
2022-05-12,0.2515,0.2515,0.2515,0.2515,0.2515,2107
2022-05-13,0.2515,0.2515,0.227,0.227,0.227,4000
2022-05-16,0.2437,0.25775,0.2357,0.2429,0.2429,2415
2022-05-17,0.2585,0.2585,0.2362,0.2427,0.2427,6121
2022-05-18,0.1584,0.21158,0.1584,0.21158,0.21158,525
2022-05-19,0.21849,0.21849,0.2063,0.2063,0.2063,3025
2022-05-20,0.22,0.22,0.22,0.22,0.22,420
2022-05-23,0.22,0.22,0.22,0.22,0.22,0
2022-05-24,0.208,0.208,0.1914,0.1988,0.1988,3518
2022-05-25,0.19049,0.19049,0.16923,0.16923,0.16923,2400
2022-05-26,0.1692,0.2083,0.1692,0.2083,0.2083,2960
2022-05-27,0.19612,0.21,0.19025,0.21,0.21,572
2022-05-31,0.19,0.208,0.19,0.19779,0.19779,3667
2022-06-01,0.19398,0.206,0.17424,0.1781,0.1781,31606
2022-06-02,0.16,0.175,0.15,0.16707,0.16707,17645
2022-06-03,0.14,0.2087,0.14,0.16697,0.16697,3735
2022-06-06,0.1218,0.16905,0.1218,0.16905,0.16905,6525
2022-06-07,0.1754,0.1754,0.1675,0.1675,0.1675,763
2022-06-08,0.168,0.19648,0.168,0.17912,0.17912,661
2022-06-09,0.18525,0.18525,0.18525,0.18525,0.18525,276
2022-06-10,0.18,0.19,0.1722,0.1743,0.1743,4426
2022-06-13,0.1464,0.17,0.11947,0.159,0.159,9590
2022-06-14,0.15154,0.15154,0.15154,0.15154,0.15154,950
2022-06-15,0.15154,0.15154,0.15154,0.15154,0.15154,0
2022-06-16,0.16,0.1929,0.14477,0.15395,0.15395,20226
2022-06-17,0.17,0.17,0.1539,0.1539,0.1539,5521
2022-06-21,0.1217,0.17985,0.1217,0.17985,0.17985,650
2022-06-22,0.1681,0.1681,0.1681,0.1681,0.1681,645
2022-06-23,0.179,0.179,0.179,0.179,0.179,500
2022-06-24,0.18,0.18,0.18,0.18,0.18,1054
2022-06-27,0.1826,0.19414,0.1826,0.19414,0.19414,400
2022-06-28,0.253,0.253,0.18135,0.18135,0.18135,5573
2022-06-29,0.19028,0.1915,0.17845,0.18621,0.18621,3103
2022-06-30,0.1872,0.1872,0.18595,0.18595,0.18595,5145
2022-07-01,0.1831,0.1831,0.16805,0.16805,0.16805,737
2022-07-05,0.15,0.17678,0.1149,0.17,0.17,10894
2022-07-06,0.1607,0.1607,0.1502,0.1502,0.1502,3750
2022-07-07,0.1971,0.1971,0.16885,0.16885,0.16885,8600
2022-07-08,0.1669,0.19605,0.1473,0.19605,0.19605,2222
2022-07-11,0.1326,0.2013,0.1326,0.2013,0.2013,2474
2022-07-12,0.167,0.167,0.155,0.155,0.155,1658
2022-07-13,0.155,0.155,0.155,0.155,0.155,0
2022-07-14,0.15424,0.1879,0.12,0.15895,0.15895,5950
2022-07-15,0.1506,0.1506,0.1504,0.1504,0.1504,3100
2022-07-18,0.1487,0.15,0.1218,0.1218,0.1218,6055
2022-07-19,0.12989,0.12989,0.0851,0.1204,0.1204,19980
2022-07-20,0.10362,0.1321,0.10135,0.1321,0.1321,4840
2022-07-21,0.085,0.10672,0.085,0.10672,0.10672,4900
2022-07-22,0.139,0.139,0.12477,0.12477,0.12477,4940
2022-07-25,0.12,0.1248,0.11175,0.11175,0.11175,1870
2022-07-26,0.1219,0.13,0.1219,0.1248,0.1248,17103
2022-07-27,0.14,0.14,0.11005,0.11061,0.11061,5493
2022-07-28,0.11326,0.1295,0.11079,0.11079,0.11079,7905
2022-07-29,0.11079,0.11079,0.11079,0.11079,0.11079,0
2022-08-01,0.1248,0.1565,0.12,0.138,0.138,101770
2022-08-02,0.1652,0.1652,0.1197,0.13,0.13,119814
2022-08-03,0.13945,0.13945,0.12061,0.12061,0.12061,9195
2022-08-04,0.1206,0.12173,0.11,0.11,0.11,4716
2022-08-05,0.0872,0.1111,0.0872,0.0956,0.0956,90071
2022-08-08,0.0851,0.11006,0.0851,0.1,0.1,8655
2022-08-09,0.0765,0.11713,0.0765,0.11713,0.11713,4054
2022-08-10,0.0765,0.109,0.0765,0.109,0.109,735
2022-08-11,0.109,0.109,0.109,0.109,0.109,0
2022-08-12,0.08487,0.1191,0.0839,0.085,0.085,236217
2022-08-15,0.09566,0.0981,0.08421,0.085,0.085,48837
2022-08-16,0.07769,0.1008,0.0702,0.07786,0.07786,11275
2022-08-17,0.0761,0.0824,0.0555,0.0555,0.0555,9256
2022-08-18,0.0608,0.0608,0.0608,0.0608,0.0608,891
2022-08-19,0.0584,0.0789,0.0584,0.06434,0.06434,24350
2022-08-22,0.0654,0.0766,0.0633,0.06705,0.06705,14734
2022-08-23,0.06385,0.0704,0.05991,0.05991,0.05991,10397
2022-08-24,0.05991,0.05991,0.05991,0.05991,0.05991,0
2022-08-25,0.0598,0.0598,0.0597,0.0597,0.0597,1115
2022-08-26,0.06769,0.06769,0.0418,0.065,0.065,8772
2022-08-29,0.05498,0.0622,0.0488,0.0622,0.0622,2842
2022-08-30,0.0652,0.0652,0.06483,0.06483,0.06483,11970
2022-08-31,0.0648,0.0648,0.05,0.05,0.05,11484
2022-09-01,0.0558,0.06453,0.05,0.064,0.064,22243
2022-09-02,0.0401,0.0799,0.0401,0.0624,0.0624,2705
2022-09-06,0.04,0.06214,0.04,0.062,0.062,8979
2022-09-07,0.05969,0.0597,0.05969,0.0597,0.0597,6000
2022-09-08,0.0411,0.0553,0.0411,0.0553,0.0553,200
2022-09-09,0.0553,0.0553,0.0553,0.0553,0.0553,0
2022-09-12,0.06,0.06,0.0499,0.0499,0.0499,35597
2022-09-13,0.0499,0.0499,0.0499,0.0499,0.0499,0
2022-09-14,0.0499,0.0499,0.0499,0.0499,0.0499,0
2022-09-15,0.06404,0.06404,0.06404,0.06404,0.06404,200
2022-09-16,0.06078,0.06078,0.06078,0.06078,0.06078,12000
2022-09-19,0.0535,0.0535,0.0535,0.0535,0.0535,3455
2022-09-20,0.0601,0.0601,0.0601,0.0601,0.0601,1000
2022-09-21,0.0392,0.06,0.0392,0.06,0.06,5440
2022-09-22,0.06,0.06,0.06,0.06,0.06,211
2022-09-23,0.06293,0.06293,0.0558,0.0558,0.0558,3640
2022-09-26,0.0463,0.0599,0.0427,0.0515,0.0515,12734
2022-09-27,0.0515,0.0515,0.0515,0.0515,0.0515,0
2022-09-28,0.051,0.051,0.0358,0.05,0.05,11500
2022-09-29,0.0414,0.0414,0.03523,0.0373,0.0373,27706
2022-09-30,0.0392,0.0457,0.0373,0.0441,0.0441,4688
2022-10-03,0.035,0.035,0.035,0.035,0.035,290
2022-10-04,0.035,0.035,0.035,0.035,0.035,0
2022-10-05,0.04,0.04159,0.0356,0.0356,0.0356,25850
2022-10-06,0.035,0.0573,0.035,0.04645,0.04645,29625
2022-10-07,0.0488,0.0488,0.0488,0.0488,0.0488,295
2022-10-10,0.054,0.054,0.054,0.054,0.054,20254
2022-10-11,0.0539,0.0539,0.0493,0.0493,0.0493,8815
2022-10-12,0.04295,0.0539,0.04295,0.0539,0.0539,2002
2022-10-13,0.0538,0.0538,0.0425,0.0425,0.0425,12420
2022-10-14,0.043,0.043,0.0425,0.0425,0.0425,317
