Date,Open,High,Low,Close,Adj Close,Volume
2017-03-24,1.25,1.25,1.25,1.25,1.25,1182
2017-03-27,1.25,1.25,1.25,1.25,1.25,500
2017-03-28,1.25,1.25,1.25,1.25,1.25,0
2017-03-29,1.25,1.25,1.25,1.25,1.25,0
2017-03-30,1.25,1.25,1.25,1.25,1.25,0
2017-03-31,1.25,1.25,1.25,1.25,1.25,0
2017-04-03,1.25,1.25,1.25,1.25,1.25,0
2017-04-04,1.25,1.25,1.25,1.25,1.25,0
2017-04-05,1.25,1.25,1.25,1.25,1.25,0
2017-04-06,1.25,1.25,1.25,1.25,1.25,0
2017-04-07,1.22,1.22,1.22,1.22,1.22,100
2017-04-10,1.22,1.22,1.22,1.22,1.22,1000
2017-04-11,1.2,1.2,1.2,1.2,1.2,600
2017-04-12,1.2,1.2,1.2,1.2,1.2,0
2017-04-13,1.2,1.2,1.2,1.2,1.2,0
2017-04-17,1.2,1.2,1.2,1.2,1.2,0
2017-04-18,1.2,1.2,1.2,1.2,1.2,0
2017-04-19,1.2,1.2,1.2,1.2,1.2,0
2017-04-20,1.2,1.2,1.2,1.2,1.2,0
2017-04-21,1.2,1.2,1.2,1.2,1.2,0
2017-04-24,1.2,1.2,1.2,1.2,1.2,0
2017-04-25,1.2,1.2,1.2,1.2,1.2,0
2017-04-26,1.2,1.2,1.2,1.2,1.2,0
2017-04-27,1.2,1.2,1.2,1.2,1.2,0
2017-04-28,1.2,1.2,1.2,1.2,1.2,0
2017-05-01,1.2,1.2,1.2,1.2,1.2,0
2017-05-02,1.2,1.2,1.2,1.2,1.2,0
2017-05-03,1.16,1.1807,1.01,1.01,1.01,1100
2017-05-04,1.01,1.01,1.01,1.01,1.01,0
2017-05-05,1.01,1.01,1.01,1.01,1.01,0
2017-05-08,1.01,1.01,1.01,1.01,1.01,0
2017-05-09,1.01,1.01,1.01,1.01,1.01,0
2017-05-10,1.01,1.01,1.01,1.01,1.01,0
2017-05-11,1.01,1.01,1.01,1.01,1.01,0
2017-05-12,1.01,1.01,1.01,1.01,1.01,0
2017-05-15,1.01,1.01,1.01,1.01,1.01,0
2017-05-16,1.01,1.01,1.01,1.01,1.01,0
2017-05-17,1.01,1.01,1.01,1.01,1.01,0
2017-05-18,1.01,1.01,1.01,1.01,1.01,0
2017-05-19,1.01,1.01,1.01,1.01,1.01,0
2017-05-22,1.12,1.12,0.846,0.8552,0.8552,900
2017-05-23,0.8552,0.8552,0.8552,0.8552,0.8552,0
2017-05-24,1.02,1.02,1.02,1.02,1.02,200
2017-05-25,1.02,1.02,0.9,0.9,0.9,2100
2017-05-26,0.9,0.9,0.9,0.9,0.9,0
2017-05-30,0.65,0.65,0.51,0.51,0.51,3400
2017-05-31,0.51,0.51,0.51,0.51,0.51,0
2017-06-01,0.51,0.51,0.51,0.51,0.51,0
2017-06-02,0.51,0.51,0.51,0.51,0.51,0
2017-06-05,0.3,0.32,0.263,0.27,0.27,4550
2017-06-06,0.25,0.25,0.25,0.25,0.25,500
2017-06-07,0.2,0.2,0.2,0.2,0.2,350
2017-06-08,0.2,0.2,0.2,0.2,0.2,0
2017-06-09,0.2,0.2,0.2,0.2,0.2,0
2017-06-12,0.2,0.2,0.2,0.2,0.2,0
2017-06-13,0.2,0.2,0.2,0.2,0.2,0
2017-06-14,0.2,0.2,0.2,0.2,0.2,0
2017-06-15,0.2,0.27,0.2,0.27,0.27,7500
2017-06-16,0.27,0.28,0.2699,0.28,0.28,3700
2017-06-19,0.29,0.3,0.29,0.3,0.3,1200
2017-06-20,0.31,0.31,0.31,0.31,0.31,1000
2017-06-21,0.32,0.32,0.15,0.32,0.32,24367
2017-06-22,0.25,0.25,0.236,0.236,0.236,2638
2017-06-23,0.24,0.24,0.24,0.24,0.24,1200
2017-06-26,0.3,0.3,0.3,0.3,0.3,200
2017-06-27,0.3,0.3,0.3,0.3,0.3,0
2017-06-28,0.3,0.3,0.3,0.3,0.3,0
2017-06-29,0.3,0.3,0.3,0.3,0.3,0
2017-06-30,0.3,0.3,0.3,0.3,0.3,0
2017-07-03,0.3,0.3,0.3,0.3,0.3,0
2017-07-05,0.12,0.12,0.12,0.12,0.12,2138
2017-07-06,0.12,0.12,0.12,0.12,0.12,0
2017-07-07,0.125,0.125,0.125,0.125,0.125,5000
2017-07-10,0.125,0.125,0.125,0.125,0.125,0
2017-07-11,0.22,0.22,0.22,0.22,0.22,1200
2017-07-12,0.22,0.22,0.22,0.22,0.22,0
2017-07-13,0.22,0.22,0.22,0.22,0.22,0
2017-07-14,0.22,0.22,0.22,0.22,0.22,0
2017-07-17,0.22,0.22,0.22,0.22,0.22,0
