Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,375.0,458.75,175.0,458.75,458.75,172
2013-07-17,475.5,1045.0,425.0,870.0,870.0,186
2013-07-18,700.0,850.0,545.0,750.0,750.0,44
2013-07-19,700.0,800.0,605.0,630.0,630.0,28
2013-07-22,630.0,630.0,485.0,525.0,525.0,15
2013-07-23,695.0,695.0,550.0,550.0,550.0,1
2013-07-24,650.0,695.0,500.0,650.0,650.0,67
2013-07-25,745.0,745.0,650.0,675.0,675.0,17
2013-07-26,650.0,675.0,600.0,600.0,600.0,43
2013-07-29,645.0,695.0,645.0,650.0,650.0,21
2013-07-30,625.0,625.0,605.0,625.0,625.0,2
2013-07-31,600.0,700.0,600.0,700.0,700.0,57
2013-08-01,650.0,700.0,650.0,650.0,650.0,28
2013-08-02,650.0,665.0,650.0,650.0,650.0,13
2013-08-05,630.0,650.0,615.0,615.0,615.0,8
2013-08-06,650.0,650.0,605.0,650.0,650.0,42
2013-08-07,650.0,745.0,625.0,695.0,695.0,53
2013-08-08,700.0,700.0,650.0,650.0,650.0,44
2013-08-09,650.0,650.0,610.0,650.0,650.0,8
2013-08-12,630.0,645.0,630.0,645.0,645.0,7
2013-08-13,650.0,675.0,650.0,675.0,675.0,1
2013-08-14,665.0,700.0,665.0,700.0,700.0,31
2013-08-15,725.0,750.0,720.0,725.0,725.0,22
2013-08-16,750.0,750.0,750.0,750.0,750.0,17
2013-08-19,800.0,895.0,650.0,650.0,650.0,38
2013-08-20,750.0,845.0,550.0,550.0,550.0,24
2013-08-21,600.0,600.0,600.0,600.0,600.0,0
2013-08-22,750.0,750.0,745.0,745.0,745.0,0
2013-08-23,745.0,745.0,640.0,640.0,640.0,1
2013-08-26,665.0,665.0,665.0,665.0,665.0,2
2013-08-27,650.0,750.0,630.0,750.0,750.0,21
2013-08-28,750.0,800.0,725.0,800.0,800.0,15
2013-08-29,800.0,800.0,800.0,800.0,800.0,2
2013-08-30,800.0,800.0,800.0,800.0,800.0,0
2013-09-03,655.0,655.0,655.0,655.0,655.0,0
2013-09-04,775.0,800.0,775.0,790.0,790.0,4
2013-09-05,790.0,875.0,790.0,875.0,875.0,3
2013-09-06,800.0,850.0,800.0,850.0,850.0,4
2013-09-09,850.0,860.0,850.0,860.0,860.0,3
2013-09-10,860.0,995.0,860.0,985.0,985.0,30
2013-09-11,975.0,1150.0,975.0,1150.0,1150.0,63
2013-09-12,1150.0,1150.0,755.0,995.0,995.0,34
2013-09-13,925.0,1125.0,925.0,1125.0,1125.0,17
2013-09-16,1150.0,1150.0,1150.0,1150.0,1150.0,3
2013-09-17,1150.0,1150.0,1150.0,1150.0,1150.0,0
2013-09-18,1150.0,1250.0,1150.0,1250.0,1250.0,13
2013-09-19,1245.0,1245.0,1150.0,1150.0,1150.0,9
2013-09-20,1150.0,1150.0,1150.0,1150.0,1150.0,0
2013-09-23,1250.0,1550.0,1250.0,1500.0,1500.0,13
2013-09-24,1450.0,1625.0,1450.0,1620.0,1620.0,33
2013-09-25,1570.0,1600.0,1500.0,1575.0,1575.0,19
2013-09-26,1575.0,1710.0,1575.0,1710.0,1710.0,13
2013-09-27,1725.0,1825.0,1725.0,1825.0,1825.0,21
2013-09-30,1875.0,1875.0,1875.0,1875.0,1875.0,5
2013-10-01,1850.0,2000.0,1780.0,2000.0,2000.0,12
2013-10-02,2025.0,2250.0,1995.0,2215.0,2215.0,24
2013-10-03,2105.0,2250.0,2090.0,2090.0,2090.0,23
2013-10-04,2200.0,2315.0,2200.0,2240.0,2240.0,10
2013-10-07,2185.0,2185.0,2140.0,2185.0,2185.0,8
2013-10-08,2185.0,2325.0,1625.0,2325.0,2325.0,43
2013-10-09,2300.0,2300.0,2000.0,2000.0,2000.0,9
2013-10-10,1950.0,2000.0,1540.0,1875.0,1875.0,58
2013-10-11,1870.0,1870.0,1500.0,1500.0,1500.0,39
2013-10-14,1265.0,1605.0,1265.0,1500.0,1500.0,36
2013-10-15,1500.0,1600.0,1500.0,1500.0,1500.0,13
2013-10-16,1625.0,1675.0,1625.0,1650.0,1650.0,73
2013-10-17,1580.0,1625.0,1550.0,1625.0,1625.0,58
2013-10-18,1600.0,1600.0,1500.0,1590.0,1590.0,33
2013-10-21,1575.0,1575.0,1375.0,1497.5,1497.5,8
2013-10-22,1250.0,1625.0,1200.0,1445.0,1445.0,48
2013-10-23,1210.0,1425.0,1210.0,1300.0,1300.0,43
2013-10-24,1275.0,1275.0,1225.0,1225.0,1225.0,29
2013-10-25,1300.0,1325.0,1290.0,1310.0,1310.0,22
2013-10-28,1300.0,1300.0,1300.0,1300.0,1300.0,0
2013-10-29,1225.0,1250.0,1225.0,1250.0,1250.0,10
2013-10-30,1250.0,1325.0,1250.0,1325.0,1325.0,5
2013-10-31,1300.0,1325.0,1300.0,1300.0,1300.0,6
