Date,Open,High,Low,Close,Adj Close,Volume
2021-11-11,13.0,14.2,11.65,12.27,12.27,1313289
2021-11-12,12.09,12.1,9.6443,10.45,10.45,437711
2021-11-15,10.9,10.9499,10.15,10.72,10.72,238805
2021-11-16,10.93,10.93,10.51,10.8,10.8,73090
2021-11-17,10.95,10.95,10.3,10.84,10.84,71752
2021-11-18,10.88,11.72,10.26,10.73,10.73,95259
2021-11-19,10.63,10.63,9.825,10.5,10.5,105963
2021-11-22,10.51,10.97,10.23,10.9,10.9,66819
2021-11-23,10.76,10.95,10.2,10.64,10.64,63189
2021-11-24,10.8,10.8,10.09,10.56,10.56,46729
2021-11-26,10.45,10.55,9.915,10.27,10.27,31523
2021-11-29,11.05,11.05,10.0,10.26,10.26,36023
2021-11-30,10.49,10.49,9.4,9.66,9.66,82001
2021-12-01,9.0,9.69,7.76,7.87,7.87,215383
2021-12-02,7.78,8.1199,7.7701,7.94,7.94,38194
2021-12-03,7.98,8.6499,7.16,8.51,8.51,103468
2021-12-06,8.52,9.25,8.02,8.74,8.74,43827
2021-12-07,8.9988,9.25,8.2599,8.47,8.47,44336
2021-12-08,9.0,9.0,8.0307,8.1,8.1,38914
2021-12-09,8.1,8.1,7.25,7.65,7.65,59805
2021-12-10,7.53,7.69,6.03,6.89,6.89,86105
2021-12-13,7.04,7.2346,6.2,6.2,6.2,54904
2021-12-14,6.76,6.76,5.14,5.14,5.14,45248
2021-12-15,5.65,6.21,5.52,5.92,5.92,31663
2021-12-16,6.02,6.0383,5.45,5.45,5.45,45963
2021-12-17,5.58,5.72,4.81,4.81,4.81,61994
2021-12-20,4.76,4.9926,4.1019,4.52,4.52,86228
2021-12-21,5.02,5.52,5.02,5.29,5.29,112806
2021-12-22,5.38,5.73,5.27,5.5,5.5,49456
2021-12-23,5.58,5.9752,5.5,5.5,5.5,11765
2021-12-27,6.01,6.39,5.5,5.5,5.5,16553
2021-12-28,5.4322,5.65,5.2,5.575,5.575,132238
2021-12-29,5.63,5.63,5.1032,5.5,5.5,84187
2021-12-30,5.09,5.59,5.06,5.55,5.55,46705
2021-12-31,5.55,5.55,5.0102,5.25,5.25,93375
2022-01-03,5.25,5.9016,5.05,5.81,5.81,27500
2022-01-04,6.61,7.97,6.0,6.97,6.97,554859
2022-01-05,7.67,8.25,6.97,7.68,7.68,247782
2022-01-06,8.66,8.66,7.8,8.02,8.02,55666
2022-01-07,8.37,8.37,7.3,7.5,7.5,83420
2022-01-10,7.23,7.68,7.01,7.25,7.25,35907
2022-01-11,7.64,7.9984,7.02,7.76,7.76,76928
2022-01-12,7.75,8.47,7.262,7.415,7.415,233186
2022-01-13,7.55,7.87,7.26,7.26,7.26,16261
2022-01-14,7.17,7.55,7.1126,7.22,7.22,14810
2022-01-18,7.94,7.94,7.29,7.29,7.29,21959
2022-01-19,7.3,7.75,7.25,7.58,7.58,56284
2022-01-20,7.67,7.67,7.05,7.07,7.07,33459
2022-01-21,7.01,7.0736,6.01,6.11,6.11,35297
2022-01-24,6.11,6.7,6.1,6.44,6.44,19270
2022-01-25,6.55,6.55,6.1,6.15,6.15,31138
2022-01-26,6.13,6.63,6.06,6.27,6.27,16078
2022-01-27,6.26,6.26,5.8155,5.99,5.99,10302
2022-01-28,6.07,6.5973,5.29,5.29,5.29,23823
2022-01-31,5.82,6.405,5.4231,6.3,6.3,21106
2022-02-01,6.72,6.72,5.93,6.4,6.4,28883
2022-02-02,6.5,6.56,6.0,6.25,6.25,6766
2022-02-03,6.08,6.08,5.48,5.76,5.76,9978
2022-02-04,5.29,5.8,5.27,5.27,5.27,26125
2022-02-07,5.25,5.33,5.01,5.2,5.2,20642
2022-02-08,5.05,5.57,5.0,5.32,5.32,20786
2022-02-09,5.16,5.6982,5.16,5.2,5.2,10564
2022-02-10,5.19,5.43,5.11,5.36,5.36,2973
2022-02-11,5.3278,5.5399,5.05,5.25,5.25,9513
2022-02-14,5.02,5.1,4.85,4.8968,4.8968,32315
2022-02-15,4.85,4.94,4.38,4.7,4.7,24230
2022-02-16,4.5001,4.78,4.5001,4.72,4.72,6504
2022-02-17,4.72,4.73,4.1,4.1,4.1,27555
2022-02-18,4.31,4.33,3.78,3.78,3.78,11746
2022-02-22,3.9,3.9,3.55,3.55,3.55,16863
2022-02-23,3.65,3.65,3.58,3.65,3.65,5796
2022-02-24,3.52,3.75,3.344,3.75,3.75,54039
2022-02-25,3.75,4.26,3.72,3.85,3.85,12789
2022-02-28,3.9999,4.19,3.88,4.14,4.14,26537
2022-03-01,4.14,4.21,4.02,4.02,4.02,8964
2022-03-02,4.045,4.2499,4.02,4.13,4.13,9583
2022-03-03,4.13,4.16,3.89,3.89,3.89,8766
2022-03-04,4.25,4.67,3.95,4.55,4.55,38266
2022-03-07,5.0,5.0,3.9501,4.12,4.12,29745
2022-03-08,4.1,4.4479,4.0201,4.06,4.06,13030
2022-03-09,4.44,4.91,4.1,4.1,4.1,11724
2022-03-10,4.01,4.2,3.51,3.6,3.6,37867
2022-03-11,3.7001,4.4046,3.6,4.08,4.08,196575
2022-03-14,4.1361,4.231,3.41,3.47,3.47,13826
2022-03-15,3.41,3.46,3.05,3.22,3.22,28808
2022-03-16,3.28,3.28,2.98,2.98,2.98,32008
2022-03-17,3.07,3.6942,3.07,3.53,3.53,36218
2022-03-18,3.55,4.24,3.36,4.0,4.0,103336
2022-03-21,3.98,4.02,3.75,3.83,3.83,12488
2022-03-22,3.9,4.22,3.69,3.69,3.69,19181
2022-03-23,4.1,4.1,3.34,3.34,3.34,12102
2022-03-24,4.0,4.0,3.38,3.5,3.5,34135
2022-03-25,3.5,3.5602,3.35,3.43,3.43,20159
2022-03-28,3.58,3.58,3.37,3.465,3.465,5247
2022-03-29,3.97,3.97,3.44,3.56,3.56,21094
2022-03-30,3.52,3.7,3.125,3.23,3.23,44035
2022-03-31,3.17,3.34,3.04,3.17,3.17,25754
2022-04-01,3.04,3.24,3.04,3.15,3.15,3116
2022-04-04,3.14,3.3022,3.0809,3.25,3.25,5262
2022-04-05,3.06,3.26,3.0,3.09,3.09,27647
2022-04-06,3.15,3.15,3.03,3.05,3.05,5546
2022-04-07,3.5,3.5,3.03,3.125,3.125,9580
2022-04-08,3.25,3.25,3.13,3.24,3.24,18409
2022-04-11,3.26,3.26,3.09,3.09,3.09,10835
2022-04-12,3.155,3.25,3.155,3.25,3.25,15158
2022-04-13,3.23,3.25,3.11,3.25,3.25,9571
2022-04-14,3.25,3.25,2.8286,3.13,3.13,63153
2022-04-18,3.13,3.1301,2.9602,3.12,3.12,7713
2022-04-19,3.1,3.1,3.01,3.04,3.04,9819
2022-04-20,3.78,5.03,3.4,5.02,5.02,884165
2022-04-21,4.56,6.55,3.78,4.69,4.69,1830916
2022-04-22,5.02,5.02,4.0,4.14,4.14,75340
2022-04-25,4.5,4.87,3.67,3.83,3.83,68414
2022-04-26,3.77,3.83,2.9,2.97,2.97,109544
2022-04-27,2.95,3.06,2.6852,2.7099,2.7099,59582
2022-04-28,2.65,2.87,2.5765,2.71,2.71,70413
2022-04-29,2.71,3.08,2.66,2.94,2.94,68288
2022-05-02,2.92,3.06,2.6201,2.8801,2.8801,55827
2022-05-03,2.81,2.9711,2.66,2.86,2.86,13276
2022-05-04,2.85,3.04,2.69,2.8,2.8,12526
2022-05-05,2.74,3.04,2.71,2.98,2.98,33489
2022-05-06,2.91,2.91,2.7,2.8,2.8,8916
2022-05-09,2.68,2.69,2.53,2.6,2.6,18671
2022-05-10,2.52,2.7215,2.52,2.54,2.54,11046
2022-05-11,2.64,2.79,2.6,2.66,2.66,9017
2022-05-12,2.61,2.65,2.45,2.45,2.45,16441
2022-05-13,2.685,2.8,2.24,2.6,2.6,37724
2022-05-16,2.59,2.67,2.4865,2.53,2.53,15250
2022-05-17,2.48,2.73,2.46,2.61,2.61,19198
