Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.0058,0.007,0.0058,0.007,0.007,27000
2013-07-17,0.007,0.007,0.007,0.007,0.007,0
2013-07-18,0.0065,0.0065,0.0065,0.0065,0.0065,2000
2013-07-19,0.0065,0.007,0.005,0.005,0.005,150308
2013-07-22,0.007,0.007,0.006,0.006,0.006,35998
2013-07-23,0.005,0.007,0.005,0.007,0.007,3250
2013-07-24,0.005,0.0051,0.005,0.005,0.005,262000
2013-07-25,0.007,0.007,0.007,0.007,0.007,4000
2013-07-26,0.0051,0.007,0.0046,0.007,0.007,291500
2013-07-29,0.007,0.007,0.007,0.007,0.007,2000
2013-07-30,0.003,0.0068,0.003,0.004,0.004,62501
2013-07-31,0.0068,0.0068,0.0068,0.0068,0.0068,10000
2013-08-01,0.0068,0.0068,0.0068,0.0068,0.0068,0
2013-08-02,0.0068,0.0068,0.0068,0.0068,0.0068,14999
2013-08-05,0.0045,0.0068,0.0045,0.0068,0.0068,13000
2013-08-06,0.005,0.005,0.005,0.005,0.005,76000
2013-08-07,0.005,0.005,0.005,0.005,0.005,10100
2013-08-08,0.005,0.005,0.005,0.005,0.005,32700
2013-08-09,0.005,0.005,0.005,0.005,0.005,17499
2013-08-12,0.0046,0.005,0.0035,0.0035,0.0035,149372
2013-08-13,0.0035,0.0035,0.0035,0.0035,0.0035,0
2013-08-14,0.005,0.005,0.005,0.005,0.005,2000
2013-08-15,0.0049,0.0049,0.0049,0.0049,0.0049,10000
2013-08-16,0.0041,0.0041,0.0041,0.0041,0.0041,100000
2013-08-19,0.004,0.0049,0.0033,0.0049,0.0049,717783
2013-08-20,0.004,0.004,0.0034,0.0034,0.0034,13000
2013-08-21,0.0034,0.004,0.0034,0.004,0.004,28000
2013-08-22,0.004,0.004,0.004,0.004,0.004,0
2013-08-23,0.0034,0.005,0.0033,0.005,0.005,540425
2013-08-26,0.005,0.005,0.005,0.005,0.005,0
2013-08-27,0.0034,0.005,0.0034,0.0034,0.0034,58214
2013-08-28,0.0034,0.004,0.0034,0.004,0.004,100000
2013-08-29,0.004,0.004,0.004,0.004,0.004,0
2013-08-30,0.005,0.005,0.005,0.005,0.005,170000
2013-09-03,0.005,0.005,0.005,0.005,0.005,0
2013-09-04,0.0034,0.004,0.0034,0.004,0.004,259673
2013-09-05,0.0034,0.0038,0.0034,0.0034,0.0034,27100
2013-09-06,0.0034,0.0038,0.0034,0.0038,0.0038,186631
2013-09-09,0.0039,0.0039,0.0034,0.0034,0.0034,218264
2013-09-10,0.0034,0.0034,0.0034,0.0034,0.0034,170000
2013-09-11,0.0034,0.0034,0.0034,0.0034,0.0034,130000
2013-09-12,0.0034,0.0034,0.0034,0.0034,0.0034,22250
2013-09-13,0.0035,0.0039,0.0035,0.0039,0.0039,174000
2013-09-16,0.0034,0.0034,0.003,0.003,0.003,40000
2013-09-17,0.0039,0.0039,0.0039,0.0039,0.0039,2000
2013-09-18,0.003,0.003,0.003,0.003,0.003,14100
2013-09-19,0.003,0.003,0.003,0.003,0.003,2800
2013-09-20,0.003,0.003,0.003,0.003,0.003,0
2013-09-23,0.0037,0.0037,0.003,0.0037,0.0037,31600
2013-09-24,0.0037,0.0037,0.0037,0.0037,0.0037,3527
2013-09-25,0.004,0.004,0.0038,0.004,0.004,658119
2013-09-26,0.005,0.005,0.005,0.005,0.005,65000
2013-09-27,0.004,0.0048,0.004,0.0048,0.0048,82631
2013-09-30,0.0048,0.0048,0.0048,0.0048,0.0048,0
2013-10-01,0.0038,0.0045,0.003,0.0045,0.0045,107000
2013-10-02,0.003,0.003,0.003,0.003,0.003,5900
2013-10-03,0.0031,0.0031,0.003,0.003,0.003,151200
2013-10-04,0.003,0.003,0.003,0.003,0.003,10500
2013-10-07,0.003,0.003,0.003,0.003,0.003,1050
2013-10-08,0.003,0.0042,0.003,0.0042,0.0042,5100
2013-10-09,0.0042,0.0042,0.0042,0.0042,0.0042,0
2013-10-10,0.0042,0.0042,0.0042,0.0042,0.0042,2000
2013-10-11,0.0042,0.0042,0.0042,0.0042,0.0042,0
2013-10-14,0.003,0.003,0.003,0.003,0.003,43000
2013-10-15,0.003,0.0042,0.003,0.003,0.003,4850
2013-10-16,0.003,0.003,0.003,0.003,0.003,0
2013-10-17,0.0041,0.0041,0.003,0.003,0.003,37648
2013-10-18,0.0041,0.0041,0.003,0.003,0.003,6400
2013-10-21,0.0041,0.0041,0.002,0.0041,0.0041,637005
2013-10-22,0.0021,0.0042,0.0021,0.0042,0.0042,14500
2013-10-23,0.002,0.0042,0.002,0.0041,0.0041,90840
2013-10-24,0.0021,0.0021,0.0021,0.0021,0.0021,3500
2013-10-25,0.0037,0.0037,0.0022,0.0022,0.0022,192929
2013-10-28,0.0012,0.0029,0.0012,0.0029,0.0029,102490
2013-10-29,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-10-30,0.0029,0.0031,0.0021,0.0031,0.0031,90000
2013-10-31,0.0031,0.0031,0.0031,0.0031,0.0031,0
2013-11-01,0.0021,0.003,0.0021,0.003,0.003,200000
2013-11-04,0.0029,0.0029,0.0028,0.0028,0.0028,260000
2013-11-05,0.0028,0.0028,0.0028,0.0028,0.0028,0
2013-11-06,0.0026,0.0042,0.0025,0.0041,0.0041,2385900
2013-11-07,0.0032,0.0032,0.0032,0.0032,0.0032,50000
2013-11-08,0.0032,0.0055,0.0032,0.0055,0.0055,453400
2013-11-11,0.005,0.0058,0.005,0.0058,0.0058,30000
2013-11-12,0.0059,0.0059,0.0055,0.0055,0.0055,46000
2013-11-13,0.0055,0.0055,0.0055,0.0055,0.0055,0
2013-11-14,0.0032,0.005,0.0032,0.005,0.005,336000
2013-11-15,0.005,0.0065,0.005,0.0065,0.0065,1698008
2013-11-18,0.003,0.0065,0.003,0.0065,0.0065,19980
2013-11-19,0.006,0.006,0.006,0.006,0.006,167000
2013-11-20,0.003,0.003,0.003,0.003,0.003,6000
2013-11-21,0.006,0.006,0.006,0.006,0.006,6008
2013-11-22,0.0035,0.006,0.0035,0.004,0.004,121784
2013-11-25,0.004,0.004,0.0035,0.004,0.004,93000
2013-11-26,0.0035,0.0045,0.0031,0.0045,0.0045,38500
2013-11-27,0.0045,0.0045,0.0045,0.0045,0.0045,0
2013-11-29,0.0043,0.006,0.0025,0.0045,0.0045,495828
2013-12-02,0.0045,0.0045,0.0045,0.0045,0.0045,0
2013-12-03,0.0045,0.0045,0.0045,0.0045,0.0045,0
2013-12-04,0.0028,0.006,0.0027,0.006,0.006,105000
2013-12-05,0.006,0.006,0.006,0.006,0.006,0
2013-12-06,0.006,0.006,0.006,0.006,0.006,0
2013-12-09,0.0023,0.0023,0.0023,0.0023,0.0023,20400
2013-12-10,0.0049,0.0059,0.0049,0.0049,0.0049,190000
2013-12-11,0.0055,0.006,0.0047,0.005,0.005,123400
2013-12-12,0.0052,0.0052,0.0047,0.0047,0.0047,31400
2013-12-13,0.0047,0.0047,0.0047,0.0047,0.0047,0
2013-12-16,0.0046,0.0052,0.0046,0.0052,0.0052,290000
2013-12-17,0.005,0.005,0.004,0.0044,0.0044,135000
2013-12-18,0.0044,0.0044,0.0044,0.0044,0.0044,0
2013-12-19,0.0031,0.0035,0.003,0.003,0.003,690500
2013-12-20,0.0044,0.0044,0.003,0.003,0.003,112000
2013-12-23,0.003,0.003,0.003,0.003,0.003,141600
2013-12-24,0.003,0.003,0.003,0.003,0.003,0
2013-12-26,0.0026,0.003,0.0023,0.003,0.003,205000
2013-12-27,0.0028,0.0028,0.0028,0.0028,0.0028,30000
2013-12-30,0.0028,0.0044,0.0026,0.0027,0.0027,201666
2013-12-31,0.0027,0.0027,0.0027,0.0027,0.0027,21000
2014-01-02,0.0027,0.0027,0.0027,0.0027,0.0027,20027
2014-01-03,0.0027,0.0046,0.0027,0.0046,0.0046,815900
2014-01-06,0.0035,0.0035,0.0035,0.0035,0.0035,10000
2014-01-07,0.0035,0.0035,0.0035,0.0035,0.0035,0
2014-01-08,0.0035,0.0035,0.0035,0.0035,0.0035,60000
2014-01-09,0.0035,0.0035,0.0035,0.0035,0.0035,55714
2014-01-10,0.0035,0.0035,0.0035,0.0035,0.0035,0
2014-01-13,0.0035,0.0035,0.0026,0.0035,0.0035,47613
2014-01-14,0.0035,0.0035,0.0035,0.0035,0.0035,0
2014-01-15,0.0035,0.0035,0.0035,0.0035,0.0035,0
2014-01-16,0.0035,0.0035,0.0035,0.0035,0.0035,0
2014-01-17,0.0028,0.0046,0.0026,0.0046,0.0046,11000
2014-01-21,0.0049,0.0049,0.0045,0.0045,0.0045,105000
2014-01-22,0.0045,0.0045,0.0045,0.0045,0.0045,0
2014-01-23,0.0026,0.0044,0.0026,0.0044,0.0044,3500
2014-01-24,0.0046,0.0046,0.0046,0.0046,0.0046,4999
2014-01-27,0.0046,0.0046,0.0046,0.0046,0.0046,0
2014-01-28,0.0026,0.0027,0.002,0.0027,0.0027,900681
2014-01-29,0.0028,0.0028,0.0021,0.0021,0.0021,278280
2014-01-30,0.0021,0.0021,0.0021,0.0021,0.0021,0
2014-01-31,0.0021,0.0021,0.002,0.002,0.002,255000
2014-02-03,0.002,0.002,0.002,0.002,0.002,0
2014-02-04,0.002,0.002,0.0016,0.0016,0.0016,63200
2014-02-05,0.0016,0.0016,0.0016,0.0016,0.0016,167000
2014-02-06,0.0016,0.0016,0.0016,0.0016,0.0016,0
2014-02-07,0.0017,0.0017,0.0017,0.0017,0.0017,80000
2014-02-10,0.0018,0.0018,0.0018,0.0018,0.0018,150000
2014-02-11,0.0019,0.0019,0.0019,0.0019,0.0019,96200
