Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.0022,0.0033,0.0022,0.0033,0.0033,4677.0
2013-07-17,0.0032,0.0032,0.0032,0.0032,0.0032,592005.0
2013-07-18,0.0021,0.0031,0.0021,0.0021,0.0021,303877.0
2013-07-19,0.0021,0.0031,0.0021,0.0025,0.0025,29281.0
2013-07-22,0.0021,0.0031,0.0021,0.0031,0.0031,25460.0
2013-07-23,0.0021,0.003,0.0021,0.003,0.003,57300.0
2013-07-24,0.003,0.003,0.003,0.003,0.003,50000.0
2013-07-25,0.0021,0.0023,0.0021,0.0023,0.0023,87467.0
2013-07-26,0.003,0.003,0.003,0.003,0.003,126080.0
2013-07-29,0.003,0.0032,0.003,0.0032,0.0032,449721.0
2013-07-30,0.003,0.0032,0.003,0.003,0.003,284560.0
2013-07-31,0.0043,0.0043,0.0043,0.0043,0.0043,332600.0
2013-08-01,0.0043,0.0043,0.0043,0.0043,0.0043,10000.0
2013-08-02,0.0043,0.0043,0.004,0.004,0.004,600000.0
2013-08-05,0.004,0.004,0.004,0.004,0.004,0.0
2013-08-06,0.0045,0.0045,0.0039,0.004,0.004,483000.0
2013-08-07,0.0053,0.006,0.005,0.0053,0.0053,952611.0
2013-08-08,0.005,0.0068,0.005,0.005,0.005,831747.0
2013-08-09,0.005,0.005,0.005,0.005,0.005,0.0
2013-08-12,0.004,0.006,0.004,0.0055,0.0055,386865.0
2013-08-13,0.0055,0.0055,0.0055,0.0055,0.0055,0.0
2013-08-14,0.0068,0.0068,0.006,0.006,0.006,205447.0
2013-08-15,0.006,0.006,0.006,0.006,0.006,0.0
2013-08-16,0.006,0.006,0.006,0.006,0.006,60000.0
2013-08-19,0.0052,0.0052,0.0052,0.0052,0.0052,2000.0
2013-08-20,0.006,0.006,0.006,0.006,0.006,14000.0
2013-08-21,0.0053,0.0063,0.0052,0.0052,0.0052,64332.0
2013-08-22,0.0053,0.0053,0.0052,0.0052,0.0052,15200.0
2013-08-23,0.0067,0.0067,0.0067,0.0067,0.0067,120000.0
2013-08-26,0.0067,0.0068,0.006,0.006,0.006,82600.0
2013-08-27,0.0067,0.0067,0.006,0.006,0.006,51700.0
2013-08-28,0.006,0.006,0.006,0.006,0.006,2506.0
2013-08-29,0.006,0.006,0.006,0.006,0.006,0.0
2013-08-30,0.0055,0.0055,0.0055,0.0055,0.0055,38450.0
2013-09-03,0.0068,0.0069,0.0068,0.0069,0.0069,183000.0
2013-09-04,0.006,0.006,0.006,0.006,0.006,122.0
2013-09-05,0.006,0.006,0.006,0.006,0.006,0.0
2013-09-06,0.006,0.006,0.0055,0.0055,0.0055,224900.0
2013-09-09,0.0055,0.0055,0.0055,0.0055,0.0055,0.0
2013-09-10,0.0052,0.0069,0.0052,0.0052,0.0052,26612.0
2013-09-11,0.0052,0.0069,0.0052,0.0069,0.0069,78390.0
2013-09-12,0.0069,0.0069,0.0069,0.0069,0.0069,0.0
2013-09-13,0.0052,0.0069,0.0052,0.0069,0.0069,8500.0
2013-09-16,0.0052,0.0052,0.0052,0.0052,0.0052,13027.0
2013-09-17,0.0045,0.005,0.0045,0.005,0.005,7545.0
2013-09-18,0.0069,0.0069,0.0069,0.0069,0.0069,100000.0
2013-09-19,0.0069,0.0069,0.005,0.005,0.005,51500.0
2013-09-20,0.005,0.005,0.005,0.005,0.005,0.0
2013-09-23,0.005,0.005,0.005,0.005,0.005,100400.0
2013-09-24,0.0069,0.0069,0.0069,0.0069,0.0069,116290.0
2013-09-25,0.0069,0.0069,0.0069,0.0069,0.0069,0.0
2013-09-26,0.005,0.005,0.005,0.005,0.005,13910.0
2013-09-27,0.005,0.0065,0.005,0.0065,0.0065,62170.0
2013-09-30,0.0065,0.0065,0.0065,0.0065,0.0065,18500.0
2013-10-01,0.0065,0.0068,0.0065,0.0068,0.0068,156564.0
2013-10-02,0.0068,0.0069,0.0068,0.0069,0.0069,83700.0
2013-10-03,0.0069,0.0069,0.0069,0.0069,0.0069,183354.0
2013-10-04,0.0069,0.0069,0.005,0.0069,0.0069,125160.0
2013-10-07,0.005,0.005,0.005,0.005,0.005,2500.0
2013-10-08,0.005,0.005,0.005,0.005,0.005,0.0
2013-10-09,0.005,0.005,0.005,0.005,0.005,0.0
2013-10-10,0.0069,0.0069,0.006,0.0065,0.0065,452911.0
2013-10-11,0.006,0.006,0.006,0.006,0.006,13225.0
2013-10-14,0.006,0.006,0.006,0.006,0.006,390.0
2013-10-15,0.006,0.006,0.0055,0.0055,0.0055,536160.0
2013-10-16,0.0055,0.006,0.0055,0.006,0.006,150250.0
2013-10-17,0.006,0.006,0.006,0.006,0.006,90000.0
2013-10-18,0.0055,0.0058,0.0055,0.0058,0.0058,40400.0
2013-10-21,0.0058,0.0058,0.0058,0.0058,0.0058,0.0
2013-10-22,0.0058,0.0058,0.0058,0.0058,0.0058,0.0
2013-10-23,0.0058,0.0058,0.0058,0.0058,0.0058,5911.0
2013-10-24,0.0057,0.0058,0.005,0.005,0.005,1236800.0
2013-10-25,0.005,0.005,0.005,0.005,0.005,90000.0
2013-10-28,0.006,0.0069,0.005,0.005,0.005,52921.0
2013-10-29,0.005,0.005,0.005,0.005,0.005,312.0
2013-10-30,0.005,0.005,0.005,0.005,0.005,0.0
2013-10-31,0.005,0.005,0.005,0.005,0.005,154.0
2013-11-01,0.005,0.009,0.005,0.009,0.009,11312.0
2013-11-04,0.005,0.009,0.005,0.009,0.009,13669.0
2013-11-05,0.005,0.005,0.005,0.005,0.005,139077.0
2013-11-06,0.005,0.005,0.005,0.005,0.005,0.0
2013-11-07,0.005,0.005,0.005,0.005,0.005,0.0
2013-11-08,0.0052,0.0052,0.0052,0.0052,0.0052,100.0
2013-11-11,0.0052,0.0052,0.0052,0.0052,0.0052,0.0
2013-11-12,0.0052,0.0052,0.0052,0.0052,0.0052,0.0
2013-11-13,0.0052,0.0052,0.0052,0.0052,0.0052,0.0
2013-11-14,0.006,0.0065,0.006,0.0065,0.0065,37842.0
2013-11-15,0.0065,0.0065,0.0065,0.0065,0.0065,0.0
2013-11-18,0.0065,0.0065,0.0065,0.0065,0.0065,2500.0
2013-11-19,0.0089,0.0089,0.006,0.006,0.006,32917.0
2013-11-20,0.006,0.006,0.006,0.006,0.006,1000.0
2013-11-21,0.006,0.006,0.006,0.006,0.006,1250.0
2013-11-22,0.006,0.006,0.0052,0.0052,0.0052,12000.0
2013-11-25,0.0052,0.0052,0.0052,0.0052,0.0052,464.0
2013-11-26,0.0052,0.0052,0.0052,0.0052,0.0052,2768.0
2013-11-27,0.0052,0.0052,0.0052,0.0052,0.0052,6727.0
2013-11-29,0.0052,0.0052,0.0052,0.0052,0.0052,0.0
2013-12-02,0.0052,0.0052,0.0052,0.0052,0.0052,74643.0
2013-12-03,0.0052,0.0052,0.0052,0.0052,0.0052,200.0
2013-12-04,0.0052,0.0052,0.0052,0.0052,0.0052,2000.0
2013-12-05,0.0052,0.0052,0.0052,0.0052,0.0052,0.0
2013-12-06,0.0052,0.0089,0.0052,0.0089,0.0089,9524.0
2013-12-09,0.0075,0.0075,0.007,0.007,0.007,160054.0
2013-12-10,0.007,0.007,0.0052,0.0052,0.0052,4220.0
2013-12-11,0.0052,0.0052,0.0052,0.0052,0.0052,189730.0
2013-12-12,0.0052,0.0052,0.0052,0.0052,0.0052,2200.0
2013-12-13,0.0052,0.0052,0.0052,0.0052,0.0052,32300.0
2013-12-16,0.005,0.0052,0.005,0.0052,0.0052,13443.0
2013-12-17,0.0053,0.0053,0.0053,0.0053,0.0053,12841.0
2013-12-18,0.0053,0.0053,0.0053,0.0053,0.0053,2543.0
2013-12-19,0.0053,0.0053,0.0053,0.0053,0.0053,0.0
2013-12-20,0.0053,0.0053,0.0053,0.0053,0.0053,13690.0
2013-12-23,0.006,0.0095,0.006,0.007,0.007,289270.0
2013-12-24,0.007,0.01,0.005,0.01,0.01,1258422.0
2013-12-26,0.005,0.009,0.002,0.002,0.002,447545.0
2013-12-27,0.0021,0.004,0.0021,0.0025,0.0025,701494.0
2013-12-30,0.0025,0.005,0.0025,0.005,0.005,13081.0
2013-12-31,0.004,0.01,0.004,0.0088,0.0088,788498.0
2014-01-02,0.0089,0.0089,0.005,0.008,0.008,15580.0
2014-01-03,0.008,0.008,0.008,0.008,0.008,62500.0
2014-01-06,0.0088,0.0088,0.008,0.008,0.008,120001.0
2014-01-07,0.0088,0.0088,0.0088,0.0088,0.0088,39570.0
2014-01-08,0.0088,0.0088,0.0088,0.0088,0.0088,11000.0
2014-01-09,0.005,0.005,0.005,0.005,0.005,5500.0
2014-01-10,0.005,0.0088,0.004,0.0088,0.0088,108669.0
2014-01-13,0.0088,0.0088,0.0088,0.0088,0.0088,0.0
2014-01-14,0.004,0.0088,0.0029,0.0088,0.0088,2290382.0
2014-01-15,0.0088,0.0089,0.0021,0.0021,0.0021,64386.0
2014-01-16,0.0021,0.0021,0.0021,0.0021,0.0021,0.0
2014-01-17,0.0079,0.0079,0.0079,0.0079,0.0079,100.0
2014-01-21,0.0079,0.008,0.0037,0.0037,0.0037,5050.0
2014-01-22,0.006,0.006,0.006,0.006,0.006,10000.0
2014-01-23,0.0093,0.016,0.007,0.0079,0.0079,2894544.0
2014-01-24,0.013,0.013,0.0059,0.0059,0.0059,1120036.0
2014-01-27,0.006,0.01,0.0045,0.01,0.01,1732960.0
2014-01-28,0.01,0.01,0.005,0.0061,0.0061,302400.0
2014-01-29,0.0062,0.01,0.0051,0.0051,0.0051,195501.0
2014-01-30,0.01,0.01,0.0052,0.01,0.01,90009.0
2014-01-31,0.01,0.01,0.006,0.0095,0.0095,83251.0
2014-02-03,0.006,0.01,0.006,0.0099,0.0099,156000.0
2014-02-04,0.0099,0.0099,0.0051,0.0051,0.0051,405647.0
2014-02-05,0.004,0.0089,0.0024,0.0024,0.0024,2324817.0
2014-02-06,0.0078,0.0078,0.0028,0.0035,0.0035,28100.0
2014-02-07,0.0037,0.0037,0.0037,0.0037,0.0037,18000.0
2014-02-10,0.0035,0.0075,0.0035,0.0065,0.0065,46542.0
2014-02-11,0.0065,0.0065,0.005,0.0055,0.0055,51000.0
2014-02-12,0.0055,0.0059,0.0035,0.0051,0.0051,113786.0
2014-02-13,0.0074,0.0074,0.0035,0.0035,0.0035,269574.0
2014-02-14,0.0075,0.0075,0.0041,0.007,0.007,17999.0
2014-02-18,0.0083,0.0083,0.007,0.007,0.007,20560.0
2014-02-19,0.0043,0.0043,0.0043,0.0043,0.0043,4020.0
2014-02-20,0.005,0.005,0.005,0.005,0.005,3000.0
2014-02-21,0.005,0.0052,0.003,0.0052,0.0052,2051105.0
2014-02-24,0.0065,0.0065,0.002,0.0022,0.0022,1995652.0
2014-02-25,0.0022,0.0065,0.0022,0.0054,0.0054,48170.0
2014-02-26,0.0053,0.0053,0.0025,0.005,0.005,420945.0
2014-02-27,0.005,0.005,0.005,0.005,0.005,0.0
2014-02-28,0.004,0.004,0.0035,0.0035,0.0035,348513.0
2014-03-03,0.004,0.004,0.0023,0.0024,0.0024,2070357.0
2014-03-04,0.003,0.003,0.002,0.0026,0.0026,1273987.0
2014-03-05,0.0035,0.0035,0.0035,0.0035,0.0035,1020.0
2014-03-06,0.0026,0.0026,0.0023,0.0023,0.0023,864938.0
2014-03-07,0.0024,0.0035,0.0024,0.0024,0.0024,305742.0
2014-03-10,0.0024,0.004,0.0024,0.0038,0.0038,370220.0
2014-03-11,0.0039,0.0045,0.0039,0.004,0.004,536030.0
2014-03-12,0.004,0.004,0.002,0.0039,0.0039,1561401.0
2014-03-13,0.0039,0.0039,0.0039,0.0039,0.0039,0.0
2014-03-14,0.0026,0.0026,0.0026,0.0026,0.0026,104.0
2014-03-17,0.0026,0.0026,0.0019,0.002,0.002,3304231.0
2014-03-18,0.0021,0.0021,0.0017,0.0017,0.0017,1661264.0
2014-03-19,0.0018,0.002,0.0018,0.002,0.002,27800.0
2014-03-20,0.0025,0.003,0.0025,0.003,0.003,39100.0
2014-03-21,0.003,0.003,0.003,0.003,0.003,50000.0
2014-03-24,0.003,0.003,0.003,0.003,0.003,8000.0
2014-03-25,0.0034,0.0034,0.003,0.003,0.003,256500.0
2014-03-26,0.003,0.003,0.003,0.003,0.003,35000.0
2014-03-27,0.0034,0.0034,0.003,0.003,0.003,246955.0
2014-03-28,0.0035,0.0035,0.0025,0.0025,0.0025,2991780.0
2014-03-31,0.0025,0.0025,0.0025,0.0025,0.0025,0.0
2014-04-01,0.0026,0.0026,0.0018,0.0019,0.0019,1469118.0
2014-04-02,0.0019,0.0019,0.0017,0.0017,0.0017,1861308.0
2014-04-03,0.0018,0.002,0.0014,0.0014,0.0014,524300.0
2014-04-04,0.0024,0.0024,0.0014,0.0014,0.0014,234000.0
2014-04-07,0.0024,0.0024,0.0023,0.0024,0.0024,798080.0
2014-04-08,0.0024,0.0024,0.0024,0.0024,0.0024,15000.0
2014-04-09,0.0024,0.0024,0.0024,0.0024,0.0024,143901.0
2014-04-10,0.0014,0.0014,0.0014,0.0014,0.0014,8455.0
2014-04-11,0.0014,0.0014,0.0014,0.0014,0.0014,0.0
2014-04-14,0.0014,0.0014,0.0014,0.0014,0.0014,0.0
2014-04-15,0.0016,0.0016,0.0014,0.0014,0.0014,200000.0
