Date,Open,High,Low,Close,Adj Close,Volume
2023-03-28,4.0,4.01,3.36,3.89,3.89,410700
2023-03-29,3.95,3.97,3.54,3.793,3.793,106100
2023-03-30,3.9,3.95,3.68,3.8,3.8,83700
2023-03-31,3.75,3.94,3.72,3.881,3.881,42300
2023-04-03,3.9,3.95,3.74,3.9,3.9,65900
2023-04-04,4.0,4.0,3.005,3.66,3.66,80400
2023-04-05,3.52,3.72,3.36,3.37,3.37,47000
2023-04-06,3.37,3.52,3.23,3.28,3.28,42000
2023-04-10,3.28,3.6,3.28,3.28,3.28,62700
2023-04-11,3.54,3.54,3.24,3.24,3.24,16800
2023-04-12,3.25,3.595,3.17,3.34,3.34,83900
2023-04-13,3.37,3.5,3.24,3.45,3.45,29700
2023-04-14,3.44,3.5,3.28,3.48,3.48,27300
2023-04-17,3.46,3.5,3.3,3.46,3.46,24100
2023-04-18,3.33,3.487,3.31,3.47,3.47,6400
2023-04-19,3.46,3.48,3.32,3.32,3.32,10400
2023-04-20,3.48,3.49,3.33,3.488,3.488,6500
2023-04-21,3.6,3.6,3.391,3.49,3.49,8800
2023-04-24,3.49,3.49,3.42,3.455,3.455,3300
2023-04-25,3.487,3.718,3.479,3.68,3.68,15300
2023-04-26,3.677,3.677,3.56,3.65,3.65,5600
2023-04-27,3.76,3.76,3.6,3.697,3.697,13700
2023-04-28,3.7,3.7,3.4,3.52,3.52,9000
2023-05-01,4.56,4.56,3.51,3.9,3.9,2503800
2023-05-02,3.55,3.74,2.98,3.37,3.37,371400
2023-05-03,3.02,3.43,3.02,3.38,3.38,183900
2023-05-04,3.16,3.28,2.8,2.92,2.92,72000
2023-05-05,2.96,2.96,2.66,2.95,2.95,66700
2023-05-08,2.94,3.03,2.89,2.935,2.935,33100
2023-05-09,2.98,3.31,2.85,3.23,3.23,105300
2023-05-10,3.55,4.03,3.26,3.67,3.67,287900
2023-05-11,3.6,3.74,3.58,3.7,3.7,33800
2023-05-12,3.56,3.7,3.32,3.6,3.6,36600
2023-05-15,3.807,3.807,3.551,3.63,3.63,32900
2023-05-16,3.65,3.78,3.52,3.68,3.68,30000
2023-05-17,3.7,3.7,3.45,3.68,3.68,42500
2023-05-18,3.61,3.68,3.49,3.66,3.66,10300
2023-05-19,3.39,3.65,3.39,3.54,3.54,7200
2023-05-22,3.52,3.63,3.47,3.48,3.48,6700
2023-05-23,3.6,3.6,3.32,3.35,3.35,18900
2023-05-24,3.39,3.39,3.18,3.38,3.38,6600
2023-05-25,3.25,3.49,3.25,3.27,3.27,13600
2023-05-26,3.19,3.68,3.13,3.53,3.53,68800
2023-05-30,3.35,3.49,3.27,3.3,3.3,14800
2023-05-31,3.3,3.39,3.15,3.275,3.275,11600
2023-06-01,3.36,3.37,3.27,3.335,3.335,18800
2023-06-02,3.25,3.4,3.19,3.38,3.38,12400
2023-06-05,3.18,3.38,3.17,3.37,3.37,6400
2023-06-06,3.37,3.6,3.27,3.43,3.43,13000
2023-06-07,3.58,3.58,3.315,3.315,3.315,10400
2023-06-08,3.43,3.55,3.3,3.498,3.498,19400
2023-06-09,3.43,3.483,3.31,3.31,3.31,2300
2023-06-12,3.463,3.66,3.18,3.41,3.41,43900
2023-06-13,3.49,3.51,3.41,3.45,3.45,17900
2023-06-14,3.398,3.63,3.33,3.37,3.37,10500
2023-06-15,3.35,3.5,3.34,3.4,3.4,11600
2023-06-16,3.35,3.48,3.35,3.47,3.47,2200
2023-06-20,3.28,3.45,3.28,3.35,3.35,9300
2023-06-21,3.35,3.457,3.29,3.457,3.457,4100
2023-06-22,3.46,3.46,3.26,3.39,3.39,5700
2023-06-23,3.39,3.425,3.39,3.42,3.42,4400
2023-06-26,3.36,3.398,3.23,3.26,3.26,5700
2023-06-27,3.25,3.389,3.2,3.35,3.35,4600
2023-06-28,3.32,3.34,3.1,3.25,3.25,10800
2023-06-29,3.13,3.24,3.04,3.14,3.14,22700
2023-06-30,3.1,3.3,3.02,3.13,3.13,16800
2023-07-03,3.104,3.35,3.09,3.32,3.32,10300
2023-07-05,3.23,3.58,3.23,3.53,3.53,28400
2023-07-06,3.35,3.5,3.26,3.45,3.45,6100
2023-07-07,3.33,3.5,3.22,3.22,3.22,16900
2023-07-10,3.31,3.32,3.22,3.32,3.32,4200
2023-07-11,3.305,3.42,3.24,3.374,3.374,16900
2023-07-12,3.477,3.477,3.36,3.36,3.36,5600
2023-07-13,3.34,3.46,3.34,3.34,3.34,6602
