Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,16.129999,20.52,14.5,16.99,16.99,2080500
2021-06-09,15.63,15.63,14.12,14.6,14.6,532500
2021-06-10,15.04,15.79,13.32,13.56,13.56,367700
2021-06-11,13.76,14.91,13.11,13.43,13.43,513200
2021-06-14,13.3,15.9,13.15,14.01,14.01,827600
2021-06-15,13.8,14.298,13.4,13.6,13.6,104400
2021-06-16,13.09,14.0,12.03,12.84,12.84,297000
2021-06-17,12.7,13.14,12.26,12.31,12.31,63900
2021-06-18,12.2,14.0,12.2,12.87,12.87,326100
2021-06-21,12.74,13.09,12.21,12.64,12.64,124700
2021-06-22,12.41,13.43,12.2,13.05,13.05,273900
2021-06-23,12.84,13.52,12.6,12.77,12.77,217500
2021-06-24,12.8,14.68,12.8,13.09,13.09,208800
2021-06-25,13.166,15.88,12.781,14.67,14.67,1124300
2021-06-28,14.26,14.97,13.66,14.11,14.11,842700
2021-06-29,14.01,14.4,13.3,13.66,13.66,747800
2021-06-30,13.32,19.0,12.75,13.11,13.11,6554700
2021-07-01,13.06,13.6,12.55,13.08,13.08,502200
2021-07-02,12.85,13.168,10.37,11.12,11.12,945000
2021-07-06,10.61,11.48,10.5,10.79,10.79,431900
2021-07-07,10.71,10.97,10.01,10.16,10.16,198000
2021-07-08,9.42,10.562,9.15,10.16,10.16,329900
2021-07-09,10.64,12.13,10.64,10.84,10.84,699600
2021-07-12,11.08,11.63,10.89,10.97,10.97,160200
2021-07-13,11.067,11.261,10.2,10.37,10.37,115400
2021-07-14,10.19,10.72,9.8,10.06,10.06,216500
2021-07-15,9.929,10.35,9.85,10.02,10.02,61900
2021-07-16,9.99,10.17,9.33,9.42,9.42,45200
2021-07-19,9.025,9.8,9.0,9.42,9.42,33500
2021-07-20,9.8,9.8,9.27,9.45,9.45,35500
2021-07-21,9.486,10.68,9.44,10.1,10.1,68300
2021-07-22,10.01,10.01,9.41,9.54,9.54,37500
2021-07-23,6.76,6.84,5.71,6.18,6.18,400000
2021-07-26,4.38,5.15,4.0,4.965,4.965,173000
2021-07-27,5.0,5.051,4.29,4.6,4.6,216800
2021-07-28,4.54,5.88,4.54,5.8,5.8,626500
2021-07-29,5.96,6.44,5.5,5.58,5.58,147200
2021-07-30,5.24,5.505,4.6,5.3,5.3,52100
2021-08-02,5.31,5.632,5.21,5.44,5.44,31900
2021-08-03,5.34,5.5,5.05,5.42,5.42,38700
2021-08-04,5.42,5.45,5.16,5.277,5.277,44400
2021-08-05,5.18,5.326,5.04,5.09,5.09,34200
2021-08-06,5.07,5.37,4.86,4.91,4.91,21500
2021-08-09,4.91,5.186,4.61,4.95,4.95,67100
2021-08-10,5.347,5.37,5.16,5.27,5.27,94800
2021-08-11,5.68,5.71,5.02,5.43,5.43,557900
2021-08-12,5.24,5.4,4.62,4.83,4.83,148700
2021-08-13,4.73,5.24,4.71,5.0,5.0,27300
2021-08-16,4.95,4.95,3.6,3.67,3.67,317500
2021-08-17,3.52,3.52,3.05,3.18,3.18,220900
2021-08-18,3.33,3.34,3.07,3.2,3.2,71600
2021-08-19,3.06,3.4,2.8,2.85,2.85,177400
2021-08-20,3.01,3.01,2.75,2.88,2.88,55000
2021-08-23,2.96,3.04,2.81,2.84,2.84,65800
2021-08-24,2.9,3.72,2.86,3.37,3.37,984400
2021-08-25,3.27,3.49,3.15,3.23,3.23,149000
2021-08-26,3.23,3.279,2.96,3.14,3.14,172900
2021-08-27,3.12,3.312,2.958,3.21,3.21,95200
2021-08-30,3.21,3.248,3.02,3.16,3.16,163600
2021-08-31,3.22,3.236,3.06,3.2,3.2,65800
2021-09-01,3.27,3.49,3.1,3.49,3.49,89600
2021-09-02,3.4,3.401,3.16,3.16,3.16,40500
2021-09-03,3.22,3.47,3.179,3.47,3.47,117600
2021-09-07,3.37,3.47,3.357,3.41,3.41,30700
2021-09-08,3.4,3.472,3.31,3.39,3.39,23400
2021-09-09,3.28,3.39,3.22,3.34,3.34,22100
2021-09-10,3.3,3.98,3.11,3.34,3.34,493200
2021-09-13,3.4,3.4,3.15,3.21,3.21,31400
2021-09-14,3.18,3.29,3.1,3.23,3.23,61200
2021-09-15,3.13,3.235,3.13,3.19,3.19,14600
2021-09-16,3.13,3.26,2.9,2.97,2.97,108000
2021-09-17,2.99,3.07,2.92,2.94,2.94,19500
2021-09-20,2.9,2.95,2.81,2.88,2.88,13200
2021-09-21,2.88,2.94,2.6,2.74,2.74,19900
2021-09-22,2.91,2.99,2.73,2.87,2.87,60500
2021-09-23,2.869,3.23,2.76,2.9,2.9,85500
2021-09-24,2.8,2.94,2.8,2.86,2.86,38600
2021-09-27,2.86,2.94,2.8,2.83,2.83,7600
2021-09-28,2.8,2.86,2.6,2.68,2.68,41600
2021-09-29,2.76,2.79,2.55,2.69,2.69,43400
2021-09-30,2.62,2.9,2.61,2.9,2.9,34800
2021-10-01,2.65,2.86,2.65,2.86,2.86,5100
2021-10-04,2.85,2.85,2.51,2.51,2.51,14000
2021-10-05,2.62,2.78,2.55,2.65,2.65,71400
2021-10-06,2.61,2.771,2.61,2.68,2.68,16600
2021-10-07,2.62,2.767,2.62,2.65,2.65,25100
2021-10-08,2.64,2.79,2.633,2.75,2.75,15400
2021-10-11,2.74,2.99,2.53,2.62,2.62,64700
2021-10-12,2.58,2.89,2.57,2.63,2.63,47500
2021-10-13,2.66,2.7,2.52,2.58,2.58,106100
2021-10-14,2.6,2.6,2.33,2.55,2.55,40600
2021-10-15,2.51,2.55,2.36,2.39,2.39,81800
2021-10-18,2.4,2.4,2.206,2.285,2.285,47700
2021-10-19,2.25,2.41,2.22,2.41,2.41,34100
2021-10-20,2.301,2.38,2.29,2.34,2.34,20000
2021-10-21,2.329,2.329,2.27,2.27,2.27,15200
2021-10-22,2.36,2.4,2.26,2.26,2.26,17000
2021-10-25,2.33,2.53,2.1,2.22,2.22,431600
2021-10-26,2.2,2.29,1.89,2.03,2.03,318500
2021-10-27,1.99,2.1,1.8,1.84,1.84,219800
2021-10-28,1.95,2.05,1.86,1.99,1.99,96300
2021-10-29,1.99,2.06,1.97,2.06,2.06,41500
2021-11-01,2.0,2.028,1.845,1.88,1.88,77700
2021-11-02,1.9,1.96,1.8,1.81,1.81,31700
2021-11-03,1.81,1.863,1.81,1.83,1.83,20600
2021-11-04,1.84,1.9,1.78,1.82,1.82,105000
2021-11-05,1.8,2.19,1.66,2.01,2.01,2797900
2021-11-08,2.03,2.24,1.86,1.98,1.98,2139300
2021-11-09,1.9,1.934,1.71,1.78,1.78,641200
2021-11-10,1.74,1.75,1.55,1.68,1.68,432000
2021-11-11,1.72,1.735,1.65,1.69,1.69,145400
2021-11-12,1.63,1.78,1.53,1.68,1.68,527300
2021-11-15,1.73,1.73,1.56,1.59,1.59,108900
2021-11-16,1.55,1.6,1.5,1.51,1.51,97100
2021-11-17,1.5,2.226,1.42,2.09,2.09,15419500
2021-11-18,1.81,1.83,1.4,1.56,1.56,2158200
2021-11-19,1.53,1.54,1.42,1.47,1.47,356500
2021-11-22,1.47,1.47,1.35,1.43,1.43,254000
2021-11-23,1.4,1.43,1.19,1.27,1.27,405100
2021-11-24,1.23,1.328,1.21,1.32,1.32,78600
2021-11-26,1.31,1.39,1.24,1.39,1.39,96400
2021-11-29,1.33,1.358,1.27,1.34,1.34,49300
2021-11-30,1.304,1.35,1.2,1.25,1.25,130700
2021-12-01,1.24,1.32,1.19,1.19,1.19,128200
2021-12-02,1.15,1.2,1.15,1.18,1.18,50000
2021-12-03,1.18,1.27,1.1,1.1,1.1,100700
2021-12-06,1.1,1.18,1.1,1.14,1.14,129000
2021-12-07,1.19,1.25,1.14,1.22,1.22,34700
2021-12-08,1.23,1.25,1.17,1.19,1.19,29500
2021-12-09,1.21,1.34,1.208,1.21,1.21,216900
2021-12-10,1.2,1.22,1.18,1.2,1.2,20500
2021-12-13,1.18,1.25,1.14,1.25,1.25,80400
2021-12-14,1.23,1.24,1.17,1.21,1.21,19200
2021-12-15,1.23,1.23,1.16,1.22,1.22,61000
2021-12-16,1.25,1.25,1.17,1.19,1.19,22500
2021-12-17,1.16,1.196,1.13,1.13,1.13,65300
2021-12-20,1.13,1.15,1.06,1.09,1.09,52000
2021-12-21,1.06,1.15,1.06,1.06,1.06,39100
2021-12-22,1.067,1.12,1.06,1.06,1.06,29000
2021-12-23,8.11,8.11,5.39,6.05,6.05,84500
2021-12-27,6.28,7.29,6.18,7.0,7.0,83200
2021-12-28,6.92,6.92,6.32,6.44,6.44,25900
2021-12-29,6.35,6.35,5.076,5.15,5.15,62800
2021-12-30,5.04,5.45,5.02,5.16,5.16,24400
2021-12-31,5.0,5.07,4.52,4.52,4.52,34200
2022-01-03,4.66,4.71,4.52,4.52,4.52,18700
2022-01-04,3.71,3.72,2.28,2.8,2.8,832700
2022-01-05,2.54,3.2,2.28,2.83,2.83,1692500
2022-01-06,2.73,3.03,2.26,2.38,2.38,1652100
2022-01-07,2.32,2.6,1.74,2.15,2.15,1179500
2022-01-10,1.99,2.08,1.75,1.88,1.88,472600
2022-01-11,1.82,2.15,1.82,2.07,2.07,237100
2022-01-12,2.12,2.3,1.92,2.12,2.12,374200
2022-01-13,2.17,2.18,1.88,1.9,1.9,194900
2022-01-14,1.85,2.18,1.85,1.93,1.93,247100
2022-01-18,1.92,2.05,1.814,1.97,1.97,97600
2022-01-19,1.94,2.08,1.84,1.93,1.93,115200
2022-01-20,1.9,2.05,1.76,1.77,1.77,124600
2022-01-21,1.785,1.9,1.69,1.78,1.78,157000
2022-01-24,1.7,1.76,1.43,1.54,1.54,228900
2022-01-25,1.53,1.56,1.44,1.52,1.52,54100
2022-01-26,1.57,1.726,1.56,1.56,1.56,134100
2022-01-27,1.55,1.59,1.4,1.405,1.405,63700
2022-01-28,1.44,1.56,1.4,1.49,1.49,45200
2022-01-31,1.49,1.647,1.47,1.6,1.6,33700
2022-02-01,1.65,1.75,1.51,1.7,1.7,124700
2022-02-02,1.7,1.76,1.56,1.59,1.59,26800
2022-02-03,1.52,1.615,1.48,1.51,1.51,26600
2022-02-04,1.51,1.57,1.49,1.57,1.57,17900
2022-02-07,1.6,1.74,1.51,1.67,1.67,50900
2022-02-08,1.63,1.67,1.61,1.61,1.61,27500
2022-02-09,1.67,1.74,1.632,1.675,1.675,44600
2022-02-10,1.616,1.78,1.616,1.72,1.72,49300
2022-02-11,1.79,1.93,1.61,1.61,1.61,26900
2022-02-14,1.57,1.58,1.48,1.51,1.51,45600
2022-02-15,1.55,1.73,1.55,1.69,1.69,32900
2022-02-16,1.69,1.94,1.58,1.895,1.895,203800
2022-02-17,2.07,2.17,1.6,1.91,1.91,214700
2022-02-18,1.81,1.945,1.54,1.81,1.81,108900
2022-02-22,1.81,1.835,1.57,1.68,1.68,12600
2022-02-23,1.77,1.89,1.72,1.77,1.77,27200
2022-02-24,1.63,1.74,1.57,1.69,1.69,19400
2022-02-25,1.705,1.79,1.67,1.79,1.79,2800
2022-02-28,1.79,1.79,1.65,1.73,1.73,13500
2022-03-01,1.65,1.72,1.62,1.67,1.67,12200
2022-03-02,1.63,1.64,1.45,1.59,1.59,119900
2022-03-03,1.59,1.59,1.525,1.54,1.54,10500
2022-03-04,1.44,1.473,1.35,1.36,1.36,153200
2022-03-07,1.28,1.3,1.25,1.26,1.26,80700
2022-03-08,1.26,1.34,1.17,1.3,1.3,36600
2022-03-09,1.3,1.36,1.21,1.31,1.31,78900
2022-03-10,1.31,1.35,1.17,1.29,1.29,84200
2022-03-11,1.37,1.425,1.2,1.26,1.26,61900
2022-03-14,1.26,1.27,0.96,1.0,1.0,115400
2022-03-15,0.919,1.06,0.901,1.0,1.0,101600
2022-03-16,1.1,1.25,1.02,1.09,1.09,345100
2022-03-17,1.14,1.153,1.01,1.04,1.04,97100
2022-03-18,1.04,1.17,1.04,1.07,1.07,171500
2022-03-21,1.16,1.16,0.99,1.06,1.06,62500
2022-03-22,1.22,2.03,1.09,1.45,1.45,27409100
2022-03-23,1.45,1.8,1.35,1.61,1.61,6234400
2022-03-24,1.54,1.7,1.49,1.66,1.66,2097600
2022-03-25,1.57,1.68,1.51,1.63,1.63,872900
2022-03-28,1.58,1.69,1.22,1.34,1.34,1155600
2022-03-29,1.26,1.4,1.18,1.22,1.22,706300
2022-03-30,1.42,1.55,1.295,1.32,1.32,599000
2022-03-31,1.33,1.38,1.191,1.28,1.28,321800
2022-04-01,1.32,1.38,1.25,1.33,1.33,200400
2022-04-04,1.33,1.38,1.288,1.35,1.35,141100
2022-04-05,1.31,1.44,1.29,1.38,1.38,203300
2022-04-06,1.39,1.45,1.31,1.34,1.34,131900
2022-04-07,1.33,1.44,1.23,1.32,1.32,237900
2022-04-08,1.32,1.35,1.25,1.28,1.28,193100
2022-04-11,1.24,1.28,1.18,1.28,1.28,90000
2022-04-12,1.19,1.3,1.19,1.23,1.23,65200
2022-04-13,1.22,1.291,1.18,1.24,1.24,72400
2022-04-14,1.21,1.26,1.18,1.2,1.2,71500
2022-04-18,1.17,1.18,1.01,1.1,1.1,145600
2022-04-19,1.03,1.1,1.02,1.08,1.08,28700
2022-04-20,1.03,1.09,0.988,1.05,1.05,55500
2022-04-21,1.04,1.058,0.99,1.01,1.01,35700
2022-04-22,1.05,1.05,0.95,0.95,0.95,61500
2022-04-25,0.901,0.95,0.9,0.931,0.931,70600
2022-04-26,0.94,0.983,0.85,0.851,0.851,146200
2022-04-27,0.86,0.888,0.8,0.8,0.8,51800
2022-04-28,0.78,0.87,0.75,0.82,0.82,120600
2022-04-29,0.858,0.917,0.84,0.85,0.85,53700
2022-05-02,0.842,0.888,0.82,0.86,0.86,21200
2022-05-03,0.82,0.874,0.77,0.83,0.83,31200
2022-05-04,0.81,0.823,0.75,0.823,0.823,114500
2022-05-05,0.796,0.822,0.75,0.776,0.776,28400
2022-05-06,0.756,0.8,0.75,0.789,0.789,27500
2022-05-09,0.766,0.78,0.72,0.72,0.72,52400
2022-05-10,0.72,0.77,0.71,0.71,0.71,34500
2022-05-11,0.71,0.75,0.69,0.695,0.695,20900
2022-05-12,0.68,0.695,0.62,0.653,0.653,34700
2022-05-13,0.65,0.7,0.64,0.652,0.652,27400
2022-05-16,0.642,0.67,0.642,0.65,0.65,6900
2022-05-17,0.67,0.69,0.642,0.676,0.676,23100
2022-05-18,0.69,0.834,0.69,0.762,0.762,28000
2022-05-19,0.83,0.83,0.71,0.71,0.71,30600
2022-05-20,0.706,0.71,0.58,0.65,0.65,71200
2022-05-23,0.63,0.65,0.562,0.592,0.592,74100
2022-05-24,0.601,0.601,0.55,0.59,0.59,51500
2022-05-25,0.55,0.59,0.55,0.588,0.588,69600
2022-05-26,0.569,0.6,0.55,0.569,0.569,80900
2022-05-27,0.58,0.65,0.57,0.593,0.593,97700
2022-05-31,0.618,0.63,0.58,0.615,0.615,21900
2022-06-01,0.623,0.65,0.6,0.6,0.6,25300
2022-06-02,0.6,0.6,0.6,0.6,0.6,0
2022-06-03,0.6,0.6,0.6,0.6,0.6,0
2022-06-06,0.201,0.4,0.201,0.301,0.301,176500
2022-06-07,0.306,0.42,0.302,0.4,0.4,120200
2022-06-08,0.32,0.43,0.32,0.4,0.4,109600
2022-06-09,0.4,0.45,0.39,0.4,0.4,62100
2022-06-10,0.38,0.4,0.3,0.31,0.31,36800
2022-06-13,0.32,0.35,0.3,0.35,0.35,21200
2022-06-14,0.35,0.35,0.255,0.3,0.3,89600
2022-06-15,0.305,0.31,0.3,0.3,0.3,27200
2022-06-16,0.39,0.39,0.26,0.27,0.27,2900
2022-06-17,0.337,0.404,0.3,0.31,0.31,10100
2022-06-21,0.27,0.33,0.27,0.33,0.33,43000
2022-06-22,0.3,0.352,0.297,0.3,0.3,14200
2022-06-23,0.31,0.42,0.31,0.32,0.32,28100
2022-06-24,0.32,0.399,0.32,0.336,0.336,27900
2022-06-27,0.336,0.4,0.32,0.33,0.33,70600
2022-06-28,0.34,0.61,0.34,0.34,0.34,22100
2022-06-29,0.33,0.33,0.31,0.31,0.31,30800
2022-06-30,0.3,0.3,0.26,0.27,0.27,2700
2022-07-01,0.3,0.32,0.3,0.32,0.32,43300
2022-07-05,0.3,0.577,0.3,0.312,0.312,3900
2022-07-06,0.312,0.312,0.312,0.312,0.312,400
2022-07-07,0.32,0.365,0.32,0.325,0.325,14900
2022-07-08,0.56,0.56,0.33,0.34,0.34,15300
2022-07-11,0.418,0.5,0.34,0.34,0.34,8100
2022-07-12,0.34,0.41,0.34,0.34,0.34,3600
2022-07-13,0.41,0.41,0.312,0.333,0.333,7600
2022-07-14,0.32,0.325,0.32,0.325,0.325,3100
2022-07-15,0.32,0.325,0.32,0.325,0.325,3500
2022-07-18,0.325,0.325,0.32,0.32,0.32,3200
2022-07-19,0.32,0.41,0.31,0.32,0.32,4200
2022-07-20,0.325,0.328,0.325,0.328,0.328,3500
2022-07-21,0.325,0.325,0.325,0.325,0.325,3200
2022-07-22,0.32,0.32,0.31,0.31,0.31,72600
2022-07-25,0.31,0.31,0.27,0.27,0.27,6500
2022-07-26,0.27,0.27,0.27,0.27,0.27,2400
2022-07-27,0.27,0.28,0.27,0.28,0.28,3400
2022-07-28,0.28,0.285,0.28,0.285,0.285,4200
2022-07-29,0.285,0.285,0.285,0.285,0.285,2900
2022-08-01,0.29,0.29,0.29,0.29,0.29,3200
2022-08-02,0.285,0.29,0.285,0.29,0.29,37000
2022-08-03,0.29,0.35,0.268,0.268,0.268,7800
2022-08-04,0.27,0.35,0.27,0.28,0.28,8300
2022-08-05,0.28,0.28,0.28,0.28,0.28,2700
2022-08-08,0.35,0.365,0.301,0.36,0.36,18700
2022-08-09,0.289,0.289,0.289,0.289,0.289,300
2022-08-10,0.282,0.332,0.282,0.282,0.282,5200
2022-08-11,0.29,0.35,0.28,0.28,0.28,15800
2022-08-12,0.35,0.35,0.281,0.3,0.3,3800
2022-08-15,0.28,0.28,0.28,0.28,0.28,4500
